nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-06-18 10:41:30.107552
QCY: testing step10   2023-06-18 10:41:30.308274
QCY: testing step20   2023-06-18 10:41:30.457424
QCY: testing step30   2023-06-18 10:41:30.620042
QCY: testing step40   2023-06-18 10:41:30.778944
QCY: testing step50   2023-06-18 10:41:30.944700
QCY: testing step60   2023-06-18 10:41:31.121099
QCY: testing step70   2023-06-18 10:41:31.307146
QCY: testing step80   2023-06-18 10:41:31.510861
QCY: testing step90   2023-06-18 10:41:31.718386
QCY: testing step100   2023-06-18 10:41:31.935313
QCY: testing step110   2023-06-18 10:41:32.162879
QCY: testing step120   2023-06-18 10:41:32.513739
QCY: testing step130   2023-06-18 10:41:32.777226
QCY: testing step140   2023-06-18 10:41:33.041513
QCY: testing step150   2023-06-18 10:41:33.307562
QCY: testing step160   2023-06-18 10:41:33.590015
QCY: testing step170   2023-06-18 10:41:33.905065
QCY: testing step180   2023-06-18 10:41:34.230488
QCY: testing step190   2023-06-18 10:41:34.539739
QCY: testing step200   2023-06-18 10:41:34.869976
QCY: testing step210   2023-06-18 10:41:35.262421
QCY: testing step220   2023-06-18 10:41:35.617192
QCY: testing step230   2023-06-18 10:41:35.975291
QCY: testing step240   2023-06-18 10:41:36.392968
QCY: testing step250   2023-06-18 10:41:36.804819
QCY: testing step260   2023-06-18 10:41:37.197856
QCY: testing step270   2023-06-18 10:41:37.574570
QCY: testing step280   2023-06-18 10:41:37.965227
QCY: testing step290   2023-06-18 10:41:38.383255
QCY: testing step300   2023-06-18 10:41:38.890462
QCY: testing step310   2023-06-18 10:41:39.349407
QCY: testing step320   2023-06-18 10:41:39.811713
QCY: testing step330   2023-06-18 10:41:40.287594
QCY: testing step340   2023-06-18 10:41:40.762644
QCY: testing step350   2023-06-18 10:41:41.243945
QCY: testing step360   2023-06-18 10:41:41.723545
QCY: testing step370   2023-06-18 10:41:42.262730
QCY: testing step380   2023-06-18 10:41:42.805334
QCY: testing step390   2023-06-18 10:41:43.347228
QCY: testing step400   2023-06-18 10:41:43.896289
QCY: testing step410   2023-06-18 10:41:44.577999
QCY: testing step420   2023-06-18 10:41:45.100539
QCY: testing step430   2023-06-18 10:41:45.623232
QCY: testing step440   2023-06-18 10:41:46.178528
QCY: testing step450   2023-06-18 10:41:46.700056
QCY: testing step460   2023-06-18 10:41:47.234070
QCY: testing step470   2023-06-18 10:41:47.760955
QCY: testing step480   2023-06-18 10:41:48.321004
QCY: testing step490   2023-06-18 10:41:48.861189
QCY: testing step500   2023-06-18 10:41:49.420630
QCY: testing step510   2023-06-18 10:41:49.980137
QCY: testing step520   2023-06-18 10:41:50.574559
QCY: testing step530   2023-06-18 10:41:51.130731
QCY: testing step540   2023-06-18 10:41:51.687201
QCY: testing step550   2023-06-18 10:41:52.260265
QCY: testing step560   2023-06-18 10:41:52.849907
QCY: testing step570   2023-06-18 10:41:53.444401
QCY: testing step580   2023-06-18 10:41:54.017105
QCY: testing step590   2023-06-18 10:41:54.637217
QCY: testing step600   2023-06-18 10:41:55.233173
QCY: testing step610   2023-06-18 10:41:55.906933
QCY: testing step620   2023-06-18 10:41:56.603254
QCY: testing step630   2023-06-18 10:41:57.224510
QCY: testing step640   2023-06-18 10:41:57.854892
QCY: testing step650   2023-06-18 10:41:58.537572
QCY: testing step660   2023-06-18 10:41:59.231988
QCY: testing step670   2023-06-18 10:41:59.984344
QCY: testing step680   2023-06-18 10:42:00.761317
QCY: testing step690   2023-06-18 10:42:01.577678
QCY: testing step700   2023-06-18 10:42:02.400012
QCY: testing step710   2023-06-18 10:42:03.161885
QCY: testing step720   2023-06-18 10:42:04.104285
QCY: testing step730   2023-06-18 10:42:04.915127
QCY: testing step740   2023-06-18 10:42:05.649713
QCY: testing step750   2023-06-18 10:42:06.396773
QCY: testing step760   2023-06-18 10:42:07.172516
QCY: testing step770   2023-06-18 10:42:07.931470
QCY: testing step780   2023-06-18 10:42:08.672035
QCY: testing step790   2023-06-18 10:42:09.450354
QCY: testing step800   2023-06-18 10:42:10.199547
QCY: testing step810   2023-06-18 10:42:11.029980
QCY: testing step820   2023-06-18 10:42:11.793574
QCY: testing step830   2023-06-18 10:42:12.683289
QCY: testing step840   2023-06-18 10:42:13.459888
QCY: testing step850   2023-06-18 10:42:14.217933
QCY: testing step860   2023-06-18 10:42:14.980513
QCY: testing step870   2023-06-18 10:42:15.771813
QCY: testing step880   2023-06-18 10:42:16.564520
QCY: testing step890   2023-06-18 10:42:17.558334
QCY: testing step900   2023-06-18 10:42:18.414840
QCY: testing step910   2023-06-18 10:42:19.285852
QCY: testing step920   2023-06-18 10:42:20.185402
QCY: testing step930   2023-06-18 10:42:21.074885
QCY: testing step940   2023-06-18 10:42:22.015696
QCY: testing step950   2023-06-18 10:42:22.962632
QCY: testing step960   2023-06-18 10:42:23.889186
QCY: testing step970   2023-06-18 10:42:24.800011
QCY: testing step980   2023-06-18 10:42:25.700143
QCY: testing step990   2023-06-18 10:42:26.613014
QCY: testing step1000   2023-06-18 10:42:27.455889
QCY: testing step1010   2023-06-18 10:42:28.348026
QCY: testing step1020   2023-06-18 10:42:29.226508
QCY: testing step1030   2023-06-18 10:42:30.110222
QCY: testing step1040   2023-06-18 10:42:30.994090
QCY: testing step1050   2023-06-18 10:42:31.892803
QCY: testing step1060   2023-06-18 10:42:32.787287
QCY: testing step1070   2023-06-18 10:42:33.659767
QCY: testing step1080   2023-06-18 10:42:34.549032
QCY: testing step1090   2023-06-18 10:42:35.437435
QCY: testing step1100   2023-06-18 10:42:36.353456
QCY: testing step1110   2023-06-18 10:42:37.252091
QCY: testing step1120   2023-06-18 10:42:38.156602
QCY: testing step1130   2023-06-18 10:42:39.069679
QCY: testing step1140   2023-06-18 10:42:39.970605
QCY: testing step1150   2023-06-18 10:42:40.884330
QCY: testing step1160   2023-06-18 10:42:41.779337
QCY: testing step1170   2023-06-18 10:42:42.630635
QCY: testing step1180   2023-06-18 10:42:43.549490
QCY: testing step1190   2023-06-18 10:42:44.486452
QCY: testing step1200   2023-06-18 10:42:45.382099
QCY: testing step1210   2023-06-18 10:42:46.365239
QCY: testing step1220   2023-06-18 10:42:47.318988
QCY: testing step1230   2023-06-18 10:42:48.258884
QCY: testing step1240   2023-06-18 10:42:49.237975
QCY: testing step1250   2023-06-18 10:42:50.225257
QCY: testing step1260   2023-06-18 10:42:51.152066
QCY: testing step1270   2023-06-18 10:42:52.224092
QCY: testing step1280   2023-06-18 10:42:53.158049
QCY: testing step1290   2023-06-18 10:42:54.084115
QCY: testing step1300   2023-06-18 10:42:55.033684
QCY: testing step1310   2023-06-18 10:42:55.994097
QCY: testing step1320   2023-06-18 10:42:56.940981
QCY: testing step1330   2023-06-18 10:42:57.894653
QCY: testing step1340   2023-06-18 10:42:58.831057
QCY: testing step1350   2023-06-18 10:42:59.762230
QCY: testing step1360   2023-06-18 10:43:00.712279
QCY: testing step1370   2023-06-18 10:43:01.643379
QCY: testing step1380   2023-06-18 10:43:02.536409
QCY: testing step1390   2023-06-18 10:43:03.418652
QCY: testing step1400   2023-06-18 10:43:04.292073
QCY: testing step1410   2023-06-18 10:43:05.242640
QCY: testing step1420   2023-06-18 10:43:06.144476
QCY: testing step1430   2023-06-18 10:43:07.044339
QCY: testing step1440   2023-06-18 10:43:07.930614
QCY: testing step1450   2023-06-18 10:43:08.837183
QCY: testing step1460   2023-06-18 10:43:09.762997
QCY: testing step1470   2023-06-18 10:43:10.675409
QCY: testing step1480   2023-06-18 10:43:11.619050
QCY: testing step1490   2023-06-18 10:43:12.598694
QCY: testing step1500   2023-06-18 10:43:13.550421
QCY: testing step1510   2023-06-18 10:43:14.594875
QCY: testing step1520   2023-06-18 10:43:15.502666
QCY: testing step1530   2023-06-18 10:43:16.406757
QCY: testing step1540   2023-06-18 10:43:17.301800
QCY: testing step1550   2023-06-18 10:43:18.361799
QCY: testing step1560   2023-06-18 10:43:19.303994
QCY: testing step1570   2023-06-18 10:43:20.293788
QCY: testing step1580   2023-06-18 10:43:21.259792
QCY: testing step1590   2023-06-18 10:43:22.254997
QCY: testing step1600   2023-06-18 10:43:23.224972
QCY: testing step1610   2023-06-18 10:43:24.184391
QCY: testing step1620   2023-06-18 10:43:25.112799
QCY: testing step1630   2023-06-18 10:43:26.019503
QCY: testing step1640   2023-06-18 10:43:26.928606
QCY: testing step1650   2023-06-18 10:43:27.849290
QCY: testing step1660   2023-06-18 10:43:28.739883
QCY: testing step1670   2023-06-18 10:43:29.644542
QCY: testing step1680   2023-06-18 10:43:30.551861
QCY: testing step1690   2023-06-18 10:43:31.494163
QCY: testing step1700   2023-06-18 10:43:32.428418
QCY: testing step1710   2023-06-18 10:43:33.478687
QCY: testing step1720   2023-06-18 10:43:34.467721
QCY: testing step1730   2023-06-18 10:43:35.461080
QCY: testing step1740   2023-06-18 10:43:36.464875
QCY: testing step1750   2023-06-18 10:43:37.532295
QCY: testing step1760   2023-06-18 10:43:39.058270
QCY: testing step1770   2023-06-18 10:43:40.105106
QCY: testing step1780   2023-06-18 10:43:41.102777
QCY: testing step1790   2023-06-18 10:43:42.081239
QCY: testing step1800   2023-06-18 10:43:43.078617
QCY: testing step1810   2023-06-18 10:43:44.131588
QCY: testing step1820   2023-06-18 10:43:45.132686
QCY: testing step1830   2023-06-18 10:43:46.126112
QCY: testing step1840   2023-06-18 10:43:47.108178
QCY: testing step1850   2023-06-18 10:43:48.108304
QCY: testing step1860   2023-06-18 10:43:49.307583
QCY: testing step1870   2023-06-18 10:43:50.468680
QCY: testing step1880   2023-06-18 10:43:51.541608
QCY: testing step1890   2023-06-18 10:43:52.566650
QCY: testing step1900   2023-06-18 10:43:53.735584
QCY: testing step1910   2023-06-18 10:43:54.825067
QCY: testing step1920   2023-06-18 10:43:55.891552
QCY: testing step1930   2023-06-18 10:43:56.914446
QCY: testing step1940   2023-06-18 10:43:57.944957
QCY: testing step1950   2023-06-18 10:43:59.090939
QCY: testing step1960   2023-06-18 10:44:00.210076
QCY: testing step1970   2023-06-18 10:44:01.345878
QCY: testing step1980   2023-06-18 10:44:02.442376
QCY: testing step1990   2023-06-18 10:44:03.595760
QCY: testing step2000   2023-06-18 10:44:04.773448
QCY: testing step2010   2023-06-18 10:44:06.021700
QCY: testing step2020   2023-06-18 10:44:07.259245
QCY: testing step2030   2023-06-18 10:44:08.577957
QCY: testing step2040   2023-06-18 10:44:09.829895
QCY: testing step2050   2023-06-18 10:44:11.054608
QCY: testing step2060   2023-06-18 10:44:12.294929
QCY: testing step2070   2023-06-18 10:44:13.530065
QCY: testing step2080   2023-06-18 10:44:14.832195
QCY: testing step2090   2023-06-18 10:44:16.080903
QCY: testing step2100   2023-06-18 10:44:17.335217
QCY: testing step2110   2023-06-18 10:44:18.620096
QCY: testing step2120   2023-06-18 10:44:19.884962
QCY: testing step2130   2023-06-18 10:44:21.161090
QCY: testing step2140   2023-06-18 10:44:22.475011
QCY: testing step2150   2023-06-18 10:44:23.798564
QCY: testing step2160   2023-06-18 10:44:25.130291
QCY: testing step2170   2023-06-18 10:44:26.481857
QCY: testing step2180   2023-06-18 10:44:27.836187
QCY: testing step2190   2023-06-18 10:44:29.190976
QCY: testing step2200   2023-06-18 10:44:30.544612
QCY: testing step2210   2023-06-18 10:44:31.964033
QCY: testing step2220   2023-06-18 10:44:33.342048
QCY: testing step2230   2023-06-18 10:44:34.754517
QCY: testing step2240   2023-06-18 10:44:36.190108
QCY: testing step2250   2023-06-18 10:44:37.667163
QCY: testing step2260   2023-06-18 10:44:39.137356
QCY: testing step2270   2023-06-18 10:44:40.654177
QCY: testing step2280   2023-06-18 10:44:42.203937
QCY: testing step2290   2023-06-18 10:44:43.750480
QCY: testing step2300   2023-06-18 10:44:45.361447
QCY: testing step2310   2023-06-18 10:44:46.983835
QCY: testing step2320   2023-06-18 10:44:48.605267
QCY: testing step2330   2023-06-18 10:44:50.290371
QCY: testing step2340   2023-06-18 10:44:51.974999
QCY: testing step2350   2023-06-18 10:44:53.622209
QCY: testing step2360   2023-06-18 10:44:55.317633
QCY: testing step2370   2023-06-18 10:44:57.018336
QCY: testing step2380   2023-06-18 10:44:58.733656
QCY: testing step2390   2023-06-18 10:45:00.461831
QCY: testing step2400   2023-06-18 10:45:02.177867
QCY: testing step2410   2023-06-18 10:45:03.956386
QCY: testing step2420   2023-06-18 10:45:05.725222
QCY: testing step2430   2023-06-18 10:45:07.540627
QCY: testing step2440   2023-06-18 10:45:09.391474
QCY: testing step2450   2023-06-18 10:45:11.280263
QCY: testing step2460   2023-06-18 10:45:13.209425
QCY: testing step2470   2023-06-18 10:45:15.109652
QCY: testing step2480   2023-06-18 10:45:17.021408
QCY: testing step2490   2023-06-18 10:45:18.923651
QCY: testing step2500   2023-06-18 10:45:20.949712
QCY: testing step2510   2023-06-18 10:45:22.969205
QCY: testing step2520   2023-06-18 10:45:24.949524
QCY: testing step2530   2023-06-18 10:45:26.928508
QCY: testing step2540   2023-06-18 10:45:28.963486
QCY: testing step2550   2023-06-18 10:45:31.004300
QCY: testing step2560   2023-06-18 10:45:33.041650
QCY: testing step2570   2023-06-18 10:45:35.130950
QCY: testing step2580   2023-06-18 10:45:37.320395
QCY: testing step2590   2023-06-18 10:45:39.367190
QCY: testing step2600   2023-06-18 10:45:41.449350
QCY: testing step2610   2023-06-18 10:45:43.591475
QCY: testing step2620   2023-06-18 10:45:45.656483
QCY: testing step2630   2023-06-18 10:45:47.754359
QCY: testing step2640   2023-06-18 10:45:49.900095
QCY: testing step2650   2023-06-18 10:45:52.013948
QCY: testing step2660   2023-06-18 10:45:54.207911
QCY: testing step2670   2023-06-18 10:45:56.442854
QCY: testing step2680   2023-06-18 10:45:58.698296
QCY: testing step2690   2023-06-18 10:46:00.997318
QCY: testing step2700   2023-06-18 10:46:03.269547
QCY: testing step2710   2023-06-18 10:46:05.545547
QCY: testing step2720   2023-06-18 10:46:07.957775
QCY: testing step2730   2023-06-18 10:46:10.312508
QCY: testing step2740   2023-06-18 10:46:12.643658
QCY: testing step2750   2023-06-18 10:46:14.986609
QCY: testing step2760   2023-06-18 10:46:17.310101
QCY: testing step2770   2023-06-18 10:46:19.670110
QCY: testing step2780   2023-06-18 10:46:22.202316
QCY: testing step2790   2023-06-18 10:46:24.666246
QCY: testing step2800   2023-06-18 10:46:27.098184
QCY: testing step2810   2023-06-18 10:46:29.636441
QCY: testing step2820   2023-06-18 10:46:32.118318
QCY: testing step2830   2023-06-18 10:46:34.577718
QCY: testing step2840   2023-06-18 10:46:37.211552
QCY: testing step2850   2023-06-18 10:46:39.830472
QCY: testing step2860   2023-06-18 10:46:42.372899
QCY: testing step2870   2023-06-18 10:46:44.961960
QCY: testing step2880   2023-06-18 10:46:47.575590
QCY: testing step2890   2023-06-18 10:46:50.223920
QCY: testing step2900   2023-06-18 10:46:52.840634
QCY: testing step2910   2023-06-18 10:46:55.456928
QCY: testing step2920   2023-06-18 10:46:58.109937
QCY: testing step2930   2023-06-18 10:47:00.818456
QCY: testing step2940   2023-06-18 10:47:03.756370
QCY: testing step2950   2023-06-18 10:47:06.469900
QCY: testing step2960   2023-06-18 10:47:09.247890
QCY: testing step2970   2023-06-18 10:47:11.953081
QCY: testing step2980   2023-06-18 10:47:14.649711
QCY: testing step2990   2023-06-18 10:47:17.540903
QCY: testing step3000   2023-06-18 10:47:20.352591
QCY: testing step3010   2023-06-18 10:47:23.117698
QCY: testing step3020   2023-06-18 10:47:25.805007
QCY: testing step3030   2023-06-18 10:47:28.431060
QCY: testing step3040   2023-06-18 10:47:31.160102
QCY: testing step3050   2023-06-18 10:47:34.035428
QCY: testing step3060   2023-06-18 10:47:36.983697
QCY: testing step3070   2023-06-18 10:47:39.768569
QCY: testing step3080   2023-06-18 10:47:42.647327
QCY: testing step3090   2023-06-18 10:47:45.527952
QCY: testing step3100   2023-06-18 10:47:48.403560
QCY: testing step3110   2023-06-18 10:47:51.443496
QCY: testing step3120   2023-06-18 10:47:54.506041
QCY: testing step3130   2023-06-18 10:47:57.502202
QCY: testing step3140   2023-06-18 10:48:00.517879
QCY: testing step3150   2023-06-18 10:48:03.619857
QCY: testing step3160   2023-06-18 10:48:06.736012
QCY: testing step3170   2023-06-18 10:48:09.815691
QCY: testing step3180   2023-06-18 10:48:12.889985
QCY: testing step3190   2023-06-18 10:48:15.962578
QCY: testing step3200   2023-06-18 10:48:19.035817
QCY: testing step3210   2023-06-18 10:48:22.157909
QCY: testing step3220   2023-06-18 10:48:25.170282
QCY: testing step3230   2023-06-18 10:48:28.284457
QCY: testing step3240   2023-06-18 10:48:31.448135
QCY: testing step3250   2023-06-18 10:48:34.729366
QCY: testing step3260   2023-06-18 10:48:38.036763
QCY: testing step3270   2023-06-18 10:48:41.409272
QCY: testing step3280   2023-06-18 10:48:44.503190
QCY: testing step3290   2023-06-18 10:48:47.590248
QCY: testing step3300   2023-06-18 10:48:50.734501
QCY: testing step3310   2023-06-18 10:48:53.927238
QCY: testing step3320   2023-06-18 10:48:57.161127
QCY: testing step3330   2023-06-18 10:49:00.374246
QCY: testing step3340   2023-06-18 10:49:03.572861
QCY: testing step3350   2023-06-18 10:49:06.966991
QCY: testing step3360   2023-06-18 10:49:10.364726
QCY: testing step3370   2023-06-18 10:49:13.712972
QCY: testing step3380   2023-06-18 10:49:17.287431
QCY: testing step3390   2023-06-18 10:49:20.809692
QCY: testing step3400   2023-06-18 10:49:24.322748
QCY: testing step3410   2023-06-18 10:49:27.800169
QCY: testing step3420   2023-06-18 10:49:31.209757
QCY: testing step3430   2023-06-18 10:49:34.651501
QCY: testing step3440   2023-06-18 10:49:38.112052
QCY: testing step3450   2023-06-18 10:49:41.564775
QCY: testing step3460   2023-06-18 10:49:44.974080
QCY: testing step3470   2023-06-18 10:49:48.521681
QCY: testing step3480   2023-06-18 10:49:51.972478
QCY: testing step3490   2023-06-18 10:49:55.384464
QCY: testing step3500   2023-06-18 10:49:58.933209
QCY: testing step3510   2023-06-18 10:50:02.579304
QCY: testing step3520   2023-06-18 10:50:06.188290
QCY: testing step3530   2023-06-18 10:50:09.885976
QCY: testing step3540   2023-06-18 10:50:13.526424
QCY: testing step3550   2023-06-18 10:50:17.187413
QCY: testing step3560   2023-06-18 10:50:20.737511
QCY: testing step3570   2023-06-18 10:50:24.262058
QCY: testing step3580   2023-06-18 10:50:27.838745
QCY: testing step3590   2023-06-18 10:50:31.474795
2023-06-18 10:50:35 (INFO): Final Travel Time is 527.4728, mean rewards: -3165.2295, queue: 59.4210, delay: 5.7507, throughput: 8120
2023-06-18 10:50:35 (INFO): Total time taken: 545.5853054523468
