nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: SOTL Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  sotl
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-06-18 10:41:34.047607
QCY: testing step10   2023-06-18 10:41:34.235267
QCY: testing step20   2023-06-18 10:41:34.369926
QCY: testing step30   2023-06-18 10:41:34.513472
QCY: testing step40   2023-06-18 10:41:34.672287
QCY: testing step50   2023-06-18 10:41:34.848430
QCY: testing step60   2023-06-18 10:41:35.031496
QCY: testing step70   2023-06-18 10:41:35.225876
QCY: testing step80   2023-06-18 10:41:35.423803
QCY: testing step90   2023-06-18 10:41:35.642649
QCY: testing step100   2023-06-18 10:41:35.868415
QCY: testing step110   2023-06-18 10:41:36.132059
QCY: testing step120   2023-06-18 10:41:36.468236
QCY: testing step130   2023-06-18 10:41:36.743092
QCY: testing step140   2023-06-18 10:41:37.022387
QCY: testing step150   2023-06-18 10:41:37.288440
QCY: testing step160   2023-06-18 10:41:37.561085
QCY: testing step170   2023-06-18 10:41:37.843527
QCY: testing step180   2023-06-18 10:41:38.149458
QCY: testing step190   2023-06-18 10:41:38.553266
QCY: testing step200   2023-06-18 10:41:38.871155
QCY: testing step210   2023-06-18 10:41:39.268312
QCY: testing step220   2023-06-18 10:41:39.605373
QCY: testing step230   2023-06-18 10:41:39.936869
QCY: testing step240   2023-06-18 10:41:40.312009
QCY: testing step250   2023-06-18 10:41:40.671416
QCY: testing step260   2023-06-18 10:41:41.071479
QCY: testing step270   2023-06-18 10:41:41.480936
QCY: testing step280   2023-06-18 10:41:41.887964
QCY: testing step290   2023-06-18 10:41:42.347870
QCY: testing step300   2023-06-18 10:41:42.782818
QCY: testing step310   2023-06-18 10:41:43.226282
QCY: testing step320   2023-06-18 10:41:43.659380
QCY: testing step330   2023-06-18 10:41:44.171627
QCY: testing step340   2023-06-18 10:41:44.587443
QCY: testing step350   2023-06-18 10:41:44.999669
QCY: testing step360   2023-06-18 10:41:45.414891
QCY: testing step370   2023-06-18 10:41:45.862932
QCY: testing step380   2023-06-18 10:41:46.300377
QCY: testing step390   2023-06-18 10:41:46.752546
QCY: testing step400   2023-06-18 10:41:47.196277
QCY: testing step410   2023-06-18 10:41:47.700604
QCY: testing step420   2023-06-18 10:41:48.181763
QCY: testing step430   2023-06-18 10:41:48.637573
QCY: testing step440   2023-06-18 10:41:49.111324
QCY: testing step450   2023-06-18 10:41:49.580854
QCY: testing step460   2023-06-18 10:41:50.052260
QCY: testing step470   2023-06-18 10:41:50.548114
QCY: testing step480   2023-06-18 10:41:51.022762
QCY: testing step490   2023-06-18 10:41:51.510567
QCY: testing step500   2023-06-18 10:41:51.991775
QCY: testing step510   2023-06-18 10:41:52.498271
QCY: testing step520   2023-06-18 10:41:53.002469
QCY: testing step530   2023-06-18 10:41:53.528557
QCY: testing step540   2023-06-18 10:41:54.037474
QCY: testing step550   2023-06-18 10:41:54.584171
QCY: testing step560   2023-06-18 10:41:55.106212
QCY: testing step570   2023-06-18 10:41:55.622571
QCY: testing step580   2023-06-18 10:41:56.141353
QCY: testing step590   2023-06-18 10:41:56.754313
QCY: testing step600   2023-06-18 10:41:57.288441
QCY: testing step610   2023-06-18 10:41:57.873482
QCY: testing step620   2023-06-18 10:41:58.448900
QCY: testing step630   2023-06-18 10:41:59.026453
QCY: testing step640   2023-06-18 10:41:59.627889
QCY: testing step650   2023-06-18 10:42:00.240638
QCY: testing step660   2023-06-18 10:42:00.847268
QCY: testing step670   2023-06-18 10:42:01.519300
QCY: testing step680   2023-06-18 10:42:02.334338
QCY: testing step690   2023-06-18 10:42:02.966500
QCY: testing step700   2023-06-18 10:42:03.609724
QCY: testing step710   2023-06-18 10:42:04.267766
QCY: testing step720   2023-06-18 10:42:04.915593
QCY: testing step730   2023-06-18 10:42:05.554176
QCY: testing step740   2023-06-18 10:42:06.208202
QCY: testing step750   2023-06-18 10:42:06.914199
QCY: testing step760   2023-06-18 10:42:07.538316
QCY: testing step770   2023-06-18 10:42:08.197202
QCY: testing step780   2023-06-18 10:42:08.843692
QCY: testing step790   2023-06-18 10:42:09.517789
QCY: testing step800   2023-06-18 10:42:10.183048
QCY: testing step810   2023-06-18 10:42:10.928898
QCY: testing step820   2023-06-18 10:42:11.607434
QCY: testing step830   2023-06-18 10:42:12.296974
QCY: testing step840   2023-06-18 10:42:13.062284
QCY: testing step850   2023-06-18 10:42:13.749817
QCY: testing step860   2023-06-18 10:42:14.438889
QCY: testing step870   2023-06-18 10:42:15.162403
QCY: testing step880   2023-06-18 10:42:15.881330
QCY: testing step890   2023-06-18 10:42:16.615674
QCY: testing step900   2023-06-18 10:42:17.347653
QCY: testing step910   2023-06-18 10:42:18.051060
QCY: testing step920   2023-06-18 10:42:18.745292
QCY: testing step930   2023-06-18 10:42:19.520403
QCY: testing step940   2023-06-18 10:42:20.246545
QCY: testing step950   2023-06-18 10:42:20.988534
QCY: testing step960   2023-06-18 10:42:21.723317
QCY: testing step970   2023-06-18 10:42:22.453729
QCY: testing step980   2023-06-18 10:42:23.196686
QCY: testing step990   2023-06-18 10:42:23.941006
QCY: testing step1000   2023-06-18 10:42:24.712861
QCY: testing step1010   2023-06-18 10:42:25.543564
QCY: testing step1020   2023-06-18 10:42:26.308264
QCY: testing step1030   2023-06-18 10:42:27.068020
QCY: testing step1040   2023-06-18 10:42:27.839219
QCY: testing step1050   2023-06-18 10:42:28.613273
QCY: testing step1060   2023-06-18 10:42:29.365725
QCY: testing step1070   2023-06-18 10:42:30.153078
QCY: testing step1080   2023-06-18 10:42:30.911222
QCY: testing step1090   2023-06-18 10:42:31.664718
QCY: testing step1100   2023-06-18 10:42:32.427352
QCY: testing step1110   2023-06-18 10:42:33.195867
QCY: testing step1120   2023-06-18 10:42:33.973887
QCY: testing step1130   2023-06-18 10:42:34.751636
QCY: testing step1140   2023-06-18 10:42:35.522058
QCY: testing step1150   2023-06-18 10:42:36.302922
QCY: testing step1160   2023-06-18 10:42:37.079657
QCY: testing step1170   2023-06-18 10:42:37.873825
QCY: testing step1180   2023-06-18 10:42:38.673986
QCY: testing step1190   2023-06-18 10:42:39.488280
QCY: testing step1200   2023-06-18 10:42:40.328757
QCY: testing step1210   2023-06-18 10:42:41.351412
QCY: testing step1220   2023-06-18 10:42:42.216986
QCY: testing step1230   2023-06-18 10:42:43.058496
QCY: testing step1240   2023-06-18 10:42:43.903990
QCY: testing step1250   2023-06-18 10:42:44.740525
QCY: testing step1260   2023-06-18 10:42:45.608184
QCY: testing step1270   2023-06-18 10:42:46.467089
QCY: testing step1280   2023-06-18 10:42:47.301911
QCY: testing step1290   2023-06-18 10:42:48.189686
QCY: testing step1300   2023-06-18 10:42:49.051058
QCY: testing step1310   2023-06-18 10:42:49.918533
QCY: testing step1320   2023-06-18 10:42:50.801963
QCY: testing step1330   2023-06-18 10:42:51.653890
QCY: testing step1340   2023-06-18 10:42:52.510145
QCY: testing step1350   2023-06-18 10:42:53.376600
QCY: testing step1360   2023-06-18 10:42:54.286179
QCY: testing step1370   2023-06-18 10:42:55.184424
QCY: testing step1380   2023-06-18 10:42:56.092700
QCY: testing step1390   2023-06-18 10:42:57.029722
QCY: testing step1400   2023-06-18 10:42:57.957525
QCY: testing step1410   2023-06-18 10:42:58.917167
QCY: testing step1420   2023-06-18 10:42:59.820041
QCY: testing step1430   2023-06-18 10:43:00.731030
QCY: testing step1440   2023-06-18 10:43:01.675276
QCY: testing step1450   2023-06-18 10:43:02.698928
QCY: testing step1460   2023-06-18 10:43:03.672745
QCY: testing step1470   2023-06-18 10:43:04.690043
QCY: testing step1480   2023-06-18 10:43:05.699947
QCY: testing step1490   2023-06-18 10:43:06.715279
QCY: testing step1500   2023-06-18 10:43:07.744196
QCY: testing step1510   2023-06-18 10:43:08.752419
QCY: testing step1520   2023-06-18 10:43:09.768312
QCY: testing step1530   2023-06-18 10:43:10.786408
QCY: testing step1540   2023-06-18 10:43:11.811177
QCY: testing step1550   2023-06-18 10:43:12.859592
QCY: testing step1560   2023-06-18 10:43:13.909280
QCY: testing step1570   2023-06-18 10:43:14.957056
QCY: testing step1580   2023-06-18 10:43:16.007030
QCY: testing step1590   2023-06-18 10:43:17.076831
QCY: testing step1600   2023-06-18 10:43:18.129668
QCY: testing step1610   2023-06-18 10:43:19.278615
QCY: testing step1620   2023-06-18 10:43:20.385669
QCY: testing step1630   2023-06-18 10:43:21.503386
QCY: testing step1640   2023-06-18 10:43:22.628388
QCY: testing step1650   2023-06-18 10:43:23.750868
QCY: testing step1660   2023-06-18 10:43:24.909891
QCY: testing step1670   2023-06-18 10:43:26.096836
QCY: testing step1680   2023-06-18 10:43:27.269151
QCY: testing step1690   2023-06-18 10:43:28.496435
QCY: testing step1700   2023-06-18 10:43:29.664876
QCY: testing step1710   2023-06-18 10:43:30.889754
QCY: testing step1720   2023-06-18 10:43:32.099105
QCY: testing step1730   2023-06-18 10:43:33.321735
QCY: testing step1740   2023-06-18 10:43:34.551568
QCY: testing step1750   2023-06-18 10:43:35.805591
