nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: SOTL Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  sotl
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-06-26 03:02:30.676230
QCY: testing step10   2023-06-26 03:02:30.823689
QCY: testing step20   2023-06-26 03:02:30.955691
QCY: testing step30   2023-06-26 03:02:31.087027
QCY: testing step40   2023-06-26 03:02:31.225351
QCY: testing step50   2023-06-26 03:02:31.366373
QCY: testing step60   2023-06-26 03:02:31.512419
QCY: testing step70   2023-06-26 03:02:31.655995
QCY: testing step80   2023-06-26 03:02:31.804431
QCY: testing step90   2023-06-26 03:02:31.966994
QCY: testing step100   2023-06-26 03:02:32.123347
QCY: testing step110   2023-06-26 03:02:32.282045
QCY: testing step120   2023-06-26 03:02:32.444023
QCY: testing step130   2023-06-26 03:02:32.616086
QCY: testing step140   2023-06-26 03:02:32.805948
QCY: testing step150   2023-06-26 03:02:32.995837
QCY: testing step160   2023-06-26 03:02:33.186900
QCY: testing step170   2023-06-26 03:02:33.379240
QCY: testing step180   2023-06-26 03:02:33.591955
QCY: testing step190   2023-06-26 03:02:33.796372
QCY: testing step200   2023-06-26 03:02:34.005819
QCY: testing step210   2023-06-26 03:02:34.265302
QCY: testing step220   2023-06-26 03:02:34.556844
QCY: testing step230   2023-06-26 03:02:34.773380
QCY: testing step240   2023-06-26 03:02:34.998167
QCY: testing step250   2023-06-26 03:02:35.231365
QCY: testing step260   2023-06-26 03:02:35.470407
QCY: testing step270   2023-06-26 03:02:35.711603
QCY: testing step280   2023-06-26 03:02:35.953677
QCY: testing step290   2023-06-26 03:02:36.203737
QCY: testing step300   2023-06-26 03:02:36.455388
QCY: testing step310   2023-06-26 03:02:36.704006
QCY: testing step320   2023-06-26 03:02:36.962202
QCY: testing step330   2023-06-26 03:02:37.227944
QCY: testing step340   2023-06-26 03:02:37.517042
QCY: testing step350   2023-06-26 03:02:37.803021
QCY: testing step360   2023-06-26 03:02:38.093735
QCY: testing step370   2023-06-26 03:02:38.392384
QCY: testing step380   2023-06-26 03:02:38.697951
QCY: testing step390   2023-06-26 03:02:39.012540
QCY: testing step400   2023-06-26 03:02:39.336687
QCY: testing step410   2023-06-26 03:02:39.710041
QCY: testing step420   2023-06-26 03:02:40.040137
QCY: testing step430   2023-06-26 03:02:40.379354
QCY: testing step440   2023-06-26 03:02:40.785740
QCY: testing step450   2023-06-26 03:02:41.127607
QCY: testing step460   2023-06-26 03:02:41.467291
QCY: testing step470   2023-06-26 03:02:41.802942
QCY: testing step480   2023-06-26 03:02:42.149028
QCY: testing step490   2023-06-26 03:02:42.496018
QCY: testing step500   2023-06-26 03:02:42.848478
QCY: testing step510   2023-06-26 03:02:43.207413
QCY: testing step520   2023-06-26 03:02:43.572314
QCY: testing step530   2023-06-26 03:02:43.939257
QCY: testing step540   2023-06-26 03:02:44.309143
QCY: testing step550   2023-06-26 03:02:44.706406
QCY: testing step560   2023-06-26 03:02:45.081292
QCY: testing step570   2023-06-26 03:02:45.464493
QCY: testing step580   2023-06-26 03:02:45.862771
QCY: testing step590   2023-06-26 03:02:46.263749
QCY: testing step600   2023-06-26 03:02:46.669064
QCY: testing step610   2023-06-26 03:02:47.135854
QCY: testing step620   2023-06-26 03:02:47.555472
QCY: testing step630   2023-06-26 03:02:48.054229
QCY: testing step640   2023-06-26 03:02:48.489585
QCY: testing step650   2023-06-26 03:02:48.925833
QCY: testing step660   2023-06-26 03:02:49.374068
QCY: testing step670   2023-06-26 03:02:49.816171
QCY: testing step680   2023-06-26 03:02:50.260952
QCY: testing step690   2023-06-26 03:02:50.704192
QCY: testing step700   2023-06-26 03:02:51.154826
QCY: testing step710   2023-06-26 03:02:51.611471
QCY: testing step720   2023-06-26 03:02:52.064896
QCY: testing step730   2023-06-26 03:02:52.537867
QCY: testing step740   2023-06-26 03:02:53.001300
QCY: testing step750   2023-06-26 03:02:53.462459
QCY: testing step760   2023-06-26 03:02:53.930282
QCY: testing step770   2023-06-26 03:02:54.414402
QCY: testing step780   2023-06-26 03:02:54.891255
QCY: testing step790   2023-06-26 03:02:55.363368
QCY: testing step800   2023-06-26 03:02:55.863748
QCY: testing step810   2023-06-26 03:02:56.398520
QCY: testing step820   2023-06-26 03:02:56.888381
QCY: testing step830   2023-06-26 03:02:57.380312
QCY: testing step840   2023-06-26 03:02:57.903288
QCY: testing step850   2023-06-26 03:02:58.406334
QCY: testing step860   2023-06-26 03:02:58.911801
QCY: testing step870   2023-06-26 03:02:59.427781
QCY: testing step880   2023-06-26 03:02:59.937616
QCY: testing step890   2023-06-26 03:03:00.449177
QCY: testing step900   2023-06-26 03:03:00.966200
QCY: testing step910   2023-06-26 03:03:01.518593
QCY: testing step920   2023-06-26 03:03:02.056707
QCY: testing step930   2023-06-26 03:03:02.585558
QCY: testing step940   2023-06-26 03:03:03.113799
QCY: testing step950   2023-06-26 03:03:03.665545
QCY: testing step960   2023-06-26 03:03:04.200790
QCY: testing step970   2023-06-26 03:03:04.741885
QCY: testing step980   2023-06-26 03:03:05.285771
QCY: testing step990   2023-06-26 03:03:05.837976
QCY: testing step1000   2023-06-26 03:03:06.393610
QCY: testing step1010   2023-06-26 03:03:07.003019
QCY: testing step1020   2023-06-26 03:03:07.565659
QCY: testing step1030   2023-06-26 03:03:08.138214
QCY: testing step1040   2023-06-26 03:03:08.707730
QCY: testing step1050   2023-06-26 03:03:09.280256
QCY: testing step1060   2023-06-26 03:03:09.856851
QCY: testing step1070   2023-06-26 03:03:10.439718
QCY: testing step1080   2023-06-26 03:03:11.018222
QCY: testing step1090   2023-06-26 03:03:11.608129
QCY: testing step1100   2023-06-26 03:03:12.194604
QCY: testing step1110   2023-06-26 03:03:12.792353
QCY: testing step1120   2023-06-26 03:03:13.387280
QCY: testing step1130   2023-06-26 03:03:14.002407
QCY: testing step1140   2023-06-26 03:03:14.611174
QCY: testing step1150   2023-06-26 03:03:15.215309
QCY: testing step1160   2023-06-26 03:03:15.819810
QCY: testing step1170   2023-06-26 03:03:16.426285
QCY: testing step1180   2023-06-26 03:03:17.046626
QCY: testing step1190   2023-06-26 03:03:17.656785
QCY: testing step1200   2023-06-26 03:03:18.274803
QCY: testing step1210   2023-06-26 03:03:18.947467
QCY: testing step1220   2023-06-26 03:03:19.576994
QCY: testing step1230   2023-06-26 03:03:20.200858
QCY: testing step1240   2023-06-26 03:03:20.826761
QCY: testing step1250   2023-06-26 03:03:21.447074
QCY: testing step1260   2023-06-26 03:03:22.073665
QCY: testing step1270   2023-06-26 03:03:22.696286
QCY: testing step1280   2023-06-26 03:03:23.325171
QCY: testing step1290   2023-06-26 03:03:23.956269
QCY: testing step1300   2023-06-26 03:03:24.589877
QCY: testing step1310   2023-06-26 03:03:25.215020
QCY: testing step1320   2023-06-26 03:03:25.915583
QCY: testing step1330   2023-06-26 03:03:26.555061
QCY: testing step1340   2023-06-26 03:03:27.186527
QCY: testing step1350   2023-06-26 03:03:27.837055
QCY: testing step1360   2023-06-26 03:03:28.514849
QCY: testing step1370   2023-06-26 03:03:29.160283
QCY: testing step1380   2023-06-26 03:03:29.809265
QCY: testing step1390   2023-06-26 03:03:30.469512
QCY: testing step1400   2023-06-26 03:03:31.126156
QCY: testing step1410   2023-06-26 03:03:31.784938
QCY: testing step1420   2023-06-26 03:03:32.499331
QCY: testing step1430   2023-06-26 03:03:33.164143
QCY: testing step1440   2023-06-26 03:03:33.838608
QCY: testing step1450   2023-06-26 03:03:34.527821
QCY: testing step1460   2023-06-26 03:03:35.209685
QCY: testing step1470   2023-06-26 03:03:35.893448
QCY: testing step1480   2023-06-26 03:03:36.586705
QCY: testing step1490   2023-06-26 03:03:37.275764
QCY: testing step1500   2023-06-26 03:03:37.989991
QCY: testing step1510   2023-06-26 03:03:38.674390
QCY: testing step1520   2023-06-26 03:03:39.370073
QCY: testing step1530   2023-06-26 03:03:40.047638
QCY: testing step1540   2023-06-26 03:03:40.738267
QCY: testing step1550   2023-06-26 03:03:41.427832
QCY: testing step1560   2023-06-26 03:03:42.121376
QCY: testing step1570   2023-06-26 03:03:42.816339
QCY: testing step1580   2023-06-26 03:03:43.509177
QCY: testing step1590   2023-06-26 03:03:44.198194
QCY: testing step1600   2023-06-26 03:03:44.889169
QCY: testing step1610   2023-06-26 03:03:45.589743
QCY: testing step1620   2023-06-26 03:03:46.332810
QCY: testing step1630   2023-06-26 03:03:47.028918
QCY: testing step1640   2023-06-26 03:03:47.723755
QCY: testing step1650   2023-06-26 03:03:48.460228
QCY: testing step1660   2023-06-26 03:03:49.157100
QCY: testing step1670   2023-06-26 03:03:49.852177
QCY: testing step1680   2023-06-26 03:03:50.557036
QCY: testing step1690   2023-06-26 03:03:51.382202
QCY: testing step1700   2023-06-26 03:03:52.098281
QCY: testing step1710   2023-06-26 03:03:52.823108
QCY: testing step1720   2023-06-26 03:03:53.549253
QCY: testing step1730   2023-06-26 03:03:54.268097
QCY: testing step1740   2023-06-26 03:03:55.005882
QCY: testing step1750   2023-06-26 03:03:55.732481
