nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-06-23 11:55:59.066723
QCY: testing step10   2023-06-23 11:55:59.235325
QCY: testing step20   2023-06-23 11:55:59.373258
QCY: testing step30   2023-06-23 11:55:59.510916
QCY: testing step40   2023-06-23 11:55:59.653022
QCY: testing step50   2023-06-23 11:55:59.790876
QCY: testing step60   2023-06-23 11:55:59.923560
QCY: testing step70   2023-06-23 11:56:00.073709
QCY: testing step80   2023-06-23 11:56:00.223268
QCY: testing step90   2023-06-23 11:56:00.375317
QCY: testing step100   2023-06-23 11:56:00.536796
QCY: testing step110   2023-06-23 11:56:00.775098
QCY: testing step120   2023-06-23 11:56:00.926912
QCY: testing step130   2023-06-23 11:56:01.086317
QCY: testing step140   2023-06-23 11:56:01.248961
QCY: testing step150   2023-06-23 11:56:01.418694
QCY: testing step160   2023-06-23 11:56:01.593119
QCY: testing step170   2023-06-23 11:56:01.790638
QCY: testing step180   2023-06-23 11:56:01.979351
QCY: testing step190   2023-06-23 11:56:02.182174
QCY: testing step200   2023-06-23 11:56:02.376149
QCY: testing step210   2023-06-23 11:56:02.632867
QCY: testing step220   2023-06-23 11:56:02.837587
QCY: testing step230   2023-06-23 11:56:03.050036
QCY: testing step240   2023-06-23 11:56:03.266019
QCY: testing step250   2023-06-23 11:56:03.488509
QCY: testing step260   2023-06-23 11:56:03.725400
QCY: testing step270   2023-06-23 11:56:03.958312
QCY: testing step280   2023-06-23 11:56:04.196327
QCY: testing step290   2023-06-23 11:56:04.444502
QCY: testing step300   2023-06-23 11:56:04.691173
QCY: testing step310   2023-06-23 11:56:04.937692
QCY: testing step320   2023-06-23 11:56:05.190035
QCY: testing step330   2023-06-23 11:56:05.447433
QCY: testing step340   2023-06-23 11:56:05.726768
QCY: testing step350   2023-06-23 11:56:06.009692
QCY: testing step360   2023-06-23 11:56:06.282198
QCY: testing step370   2023-06-23 11:56:06.564888
QCY: testing step380   2023-06-23 11:56:06.863110
QCY: testing step390   2023-06-23 11:56:07.173918
QCY: testing step400   2023-06-23 11:56:07.484070
QCY: testing step410   2023-06-23 11:56:07.905111
QCY: testing step420   2023-06-23 11:56:08.250369
QCY: testing step430   2023-06-23 11:56:08.596750
QCY: testing step440   2023-06-23 11:56:08.944409
QCY: testing step450   2023-06-23 11:56:09.305682
QCY: testing step460   2023-06-23 11:56:09.667014
QCY: testing step470   2023-06-23 11:56:10.110059
QCY: testing step480   2023-06-23 11:56:10.494817
QCY: testing step490   2023-06-23 11:56:10.856885
QCY: testing step500   2023-06-23 11:56:11.266931
QCY: testing step510   2023-06-23 11:56:11.660219
QCY: testing step520   2023-06-23 11:56:12.058996
QCY: testing step530   2023-06-23 11:56:12.410375
QCY: testing step540   2023-06-23 11:56:12.777228
QCY: testing step550   2023-06-23 11:56:13.168721
QCY: testing step560   2023-06-23 11:56:13.570076
QCY: testing step570   2023-06-23 11:56:14.007740
QCY: testing step580   2023-06-23 11:56:14.425060
QCY: testing step590   2023-06-23 11:56:14.910401
QCY: testing step600   2023-06-23 11:56:15.332151
QCY: testing step610   2023-06-23 11:56:15.843528
QCY: testing step620   2023-06-23 11:56:16.346760
QCY: testing step630   2023-06-23 11:56:16.784154
QCY: testing step640   2023-06-23 11:56:17.223131
QCY: testing step650   2023-06-23 11:56:17.665821
QCY: testing step660   2023-06-23 11:56:18.110601
QCY: testing step670   2023-06-23 11:56:18.572969
QCY: testing step680   2023-06-23 11:56:19.192026
QCY: testing step690   2023-06-23 11:56:19.677136
QCY: testing step700   2023-06-23 11:56:20.166023
QCY: testing step710   2023-06-23 11:56:20.658103
QCY: testing step720   2023-06-23 11:56:21.206758
QCY: testing step730   2023-06-23 11:56:21.670959
QCY: testing step740   2023-06-23 11:56:22.146723
QCY: testing step750   2023-06-23 11:56:22.623153
QCY: testing step760   2023-06-23 11:56:23.112314
QCY: testing step770   2023-06-23 11:56:23.625801
QCY: testing step780   2023-06-23 11:56:24.158746
QCY: testing step790   2023-06-23 11:56:24.701740
QCY: testing step800   2023-06-23 11:56:25.233572
QCY: testing step810   2023-06-23 11:56:25.840418
QCY: testing step820   2023-06-23 11:56:26.374810
QCY: testing step830   2023-06-23 11:56:26.914998
QCY: testing step840   2023-06-23 11:56:27.451313
QCY: testing step850   2023-06-23 11:56:27.993756
QCY: testing step860   2023-06-23 11:56:28.540222
QCY: testing step870   2023-06-23 11:56:29.105909
QCY: testing step880   2023-06-23 11:56:29.674062
QCY: testing step890   2023-06-23 11:56:30.251234
QCY: testing step900   2023-06-23 11:56:30.824580
QCY: testing step910   2023-06-23 11:56:31.389743
QCY: testing step920   2023-06-23 11:56:32.004861
QCY: testing step930   2023-06-23 11:56:32.591870
QCY: testing step940   2023-06-23 11:56:33.175194
QCY: testing step950   2023-06-23 11:56:33.755220
QCY: testing step960   2023-06-23 11:56:34.335466
QCY: testing step970   2023-06-23 11:56:34.936009
QCY: testing step980   2023-06-23 11:56:35.536253
QCY: testing step990   2023-06-23 11:56:36.167729
QCY: testing step1000   2023-06-23 11:56:36.793474
QCY: testing step1010   2023-06-23 11:56:37.516948
QCY: testing step1020   2023-06-23 11:56:38.145239
QCY: testing step1030   2023-06-23 11:56:38.781917
QCY: testing step1040   2023-06-23 11:56:39.452243
QCY: testing step1050   2023-06-23 11:56:40.104625
QCY: testing step1060   2023-06-23 11:56:40.752402
QCY: testing step1070   2023-06-23 11:56:41.421947
QCY: testing step1080   2023-06-23 11:56:42.131368
QCY: testing step1090   2023-06-23 11:56:42.757477
QCY: testing step1100   2023-06-23 11:56:43.396597
QCY: testing step1110   2023-06-23 11:56:44.107126
QCY: testing step1120   2023-06-23 11:56:44.730009
QCY: testing step1130   2023-06-23 11:56:45.358663
QCY: testing step1140   2023-06-23 11:56:45.990658
QCY: testing step1150   2023-06-23 11:56:46.644640
QCY: testing step1160   2023-06-23 11:56:47.320108
QCY: testing step1170   2023-06-23 11:56:47.999294
QCY: testing step1180   2023-06-23 11:56:48.714973
QCY: testing step1190   2023-06-23 11:56:49.436168
QCY: testing step1200   2023-06-23 11:56:50.104952
QCY: testing step1210   2023-06-23 11:56:50.835923
QCY: testing step1220   2023-06-23 11:56:51.516826
QCY: testing step1230   2023-06-23 11:56:52.259297
QCY: testing step1240   2023-06-23 11:56:52.917524
QCY: testing step1250   2023-06-23 11:56:53.595862
QCY: testing step1260   2023-06-23 11:56:54.255581
QCY: testing step1270   2023-06-23 11:56:54.889403
QCY: testing step1280   2023-06-23 11:56:55.515030
QCY: testing step1290   2023-06-23 11:56:56.168247
QCY: testing step1300   2023-06-23 11:56:56.844544
QCY: testing step1310   2023-06-23 11:56:57.535847
QCY: testing step1320   2023-06-23 11:56:58.238414
QCY: testing step1330   2023-06-23 11:56:58.946283
QCY: testing step1340   2023-06-23 11:56:59.624285
QCY: testing step1350   2023-06-23 11:57:00.393421
QCY: testing step1360   2023-06-23 11:57:01.103657
QCY: testing step1370   2023-06-23 11:57:01.828612
QCY: testing step1380   2023-06-23 11:57:02.568627
QCY: testing step1390   2023-06-23 11:57:03.302494
QCY: testing step1400   2023-06-23 11:57:04.086550
QCY: testing step1410   2023-06-23 11:57:04.818286
QCY: testing step1420   2023-06-23 11:57:05.726500
QCY: testing step1430   2023-06-23 11:57:06.503166
QCY: testing step1440   2023-06-23 11:57:07.289432
QCY: testing step1450   2023-06-23 11:57:08.048083
QCY: testing step1460   2023-06-23 11:57:08.841785
QCY: testing step1470   2023-06-23 11:57:09.625429
QCY: testing step1480   2023-06-23 11:57:10.397259
QCY: testing step1490   2023-06-23 11:57:11.239880
QCY: testing step1500   2023-06-23 11:57:12.049367
QCY: testing step1510   2023-06-23 11:57:12.827997
QCY: testing step1520   2023-06-23 11:57:13.602913
QCY: testing step1530   2023-06-23 11:57:14.376775
QCY: testing step1540   2023-06-23 11:57:15.148821
QCY: testing step1550   2023-06-23 11:57:15.945913
QCY: testing step1560   2023-06-23 11:57:16.756540
QCY: testing step1570   2023-06-23 11:57:17.610394
QCY: testing step1580   2023-06-23 11:57:18.436563
QCY: testing step1590   2023-06-23 11:57:19.270605
QCY: testing step1600   2023-06-23 11:57:20.074518
QCY: testing step1610   2023-06-23 11:57:20.876133
QCY: testing step1620   2023-06-23 11:57:21.740465
QCY: testing step1630   2023-06-23 11:57:22.542983
QCY: testing step1640   2023-06-23 11:57:23.343462
QCY: testing step1650   2023-06-23 11:57:24.177046
QCY: testing step1660   2023-06-23 11:57:24.980309
QCY: testing step1670   2023-06-23 11:57:25.783986
QCY: testing step1680   2023-06-23 11:57:26.586088
QCY: testing step1690   2023-06-23 11:57:27.427112
QCY: testing step1700   2023-06-23 11:57:28.288481
QCY: testing step1710   2023-06-23 11:57:29.143532
QCY: testing step1720   2023-06-23 11:57:29.988601
QCY: testing step1730   2023-06-23 11:57:30.814368
QCY: testing step1740   2023-06-23 11:57:31.641497
QCY: testing step1750   2023-06-23 11:57:32.481137
QCY: testing step1760   2023-06-23 11:57:33.339564
QCY: testing step1770   2023-06-23 11:57:34.189247
QCY: testing step1780   2023-06-23 11:57:35.043237
QCY: testing step1790   2023-06-23 11:57:35.870740
QCY: testing step1800   2023-06-23 11:57:36.699640
QCY: testing step1810   2023-06-23 11:57:37.549922
QCY: testing step1820   2023-06-23 11:57:38.483321
QCY: testing step1830   2023-06-23 11:57:39.339917
QCY: testing step1840   2023-06-23 11:57:40.219341
QCY: testing step1850   2023-06-23 11:57:41.124563
QCY: testing step1860   2023-06-23 11:57:42.030828
QCY: testing step1870   2023-06-23 11:57:42.919970
QCY: testing step1880   2023-06-23 11:57:43.834602
QCY: testing step1890   2023-06-23 11:57:44.719206
QCY: testing step1900   2023-06-23 11:57:45.681087
QCY: testing step1910   2023-06-23 11:57:46.625655
QCY: testing step1920   2023-06-23 11:57:47.550303
QCY: testing step1930   2023-06-23 11:57:48.502873
QCY: testing step1940   2023-06-23 11:57:49.408888
QCY: testing step1950   2023-06-23 11:57:50.317198
QCY: testing step1960   2023-06-23 11:57:51.266119
QCY: testing step1970   2023-06-23 11:57:52.260177
QCY: testing step1980   2023-06-23 11:57:53.213889
QCY: testing step1990   2023-06-23 11:57:54.150626
QCY: testing step2000   2023-06-23 11:57:55.069163
QCY: testing step2010   2023-06-23 11:57:55.989879
QCY: testing step2020   2023-06-23 11:57:57.011008
QCY: testing step2030   2023-06-23 11:57:57.942878
QCY: testing step2040   2023-06-23 11:57:58.860915
QCY: testing step2050   2023-06-23 11:57:59.779648
QCY: testing step2060   2023-06-23 11:58:00.700863
QCY: testing step2070   2023-06-23 11:58:01.679965
QCY: testing step2080   2023-06-23 11:58:02.645343
QCY: testing step2090   2023-06-23 11:58:03.679487
QCY: testing step2100   2023-06-23 11:58:04.621663
QCY: testing step2110   2023-06-23 11:58:05.775429
QCY: testing step2120   2023-06-23 11:58:06.785097
QCY: testing step2130   2023-06-23 11:58:07.815544
QCY: testing step2140   2023-06-23 11:58:08.792153
QCY: testing step2150   2023-06-23 11:58:09.797620
QCY: testing step2160   2023-06-23 11:58:10.778907
QCY: testing step2170   2023-06-23 11:58:11.751327
QCY: testing step2180   2023-06-23 11:58:12.740312
QCY: testing step2190   2023-06-23 11:58:13.784540
QCY: testing step2200   2023-06-23 11:58:14.740866
QCY: testing step2210   2023-06-23 11:58:15.686705
QCY: testing step2220   2023-06-23 11:58:16.697046
QCY: testing step2230   2023-06-23 11:58:17.686686
QCY: testing step2240   2023-06-23 11:58:18.687806
QCY: testing step2250   2023-06-23 11:58:19.686753
QCY: testing step2260   2023-06-23 11:58:20.649328
QCY: testing step2270   2023-06-23 11:58:21.622358
QCY: testing step2280   2023-06-23 11:58:22.605112
QCY: testing step2290   2023-06-23 11:58:23.576544
QCY: testing step2300   2023-06-23 11:58:24.548173
QCY: testing step2310   2023-06-23 11:58:25.522282
QCY: testing step2320   2023-06-23 11:58:26.510835
QCY: testing step2330   2023-06-23 11:58:27.504871
QCY: testing step2340   2023-06-23 11:58:28.501093
QCY: testing step2350   2023-06-23 11:58:29.492300
QCY: testing step2360   2023-06-23 11:58:30.489427
QCY: testing step2370   2023-06-23 11:58:31.487164
QCY: testing step2380   2023-06-23 11:58:32.500322
QCY: testing step2390   2023-06-23 11:58:33.524316
QCY: testing step2400   2023-06-23 11:58:34.562840
QCY: testing step2410   2023-06-23 11:58:35.581898
QCY: testing step2420   2023-06-23 11:58:36.803876
QCY: testing step2430   2023-06-23 11:58:37.865037
QCY: testing step2440   2023-06-23 11:58:38.908135
QCY: testing step2450   2023-06-23 11:58:39.988244
QCY: testing step2460   2023-06-23 11:58:41.022497
QCY: testing step2470   2023-06-23 11:58:42.126201
QCY: testing step2480   2023-06-23 11:58:43.196381
QCY: testing step2490   2023-06-23 11:58:44.209120
QCY: testing step2500   2023-06-23 11:58:45.244713
QCY: testing step2510   2023-06-23 11:58:46.296373
QCY: testing step2520   2023-06-23 11:58:47.359456
QCY: testing step2530   2023-06-23 11:58:48.390932
QCY: testing step2540   2023-06-23 11:58:49.452139
QCY: testing step2550   2023-06-23 11:58:50.491728
QCY: testing step2560   2023-06-23 11:58:51.526441
QCY: testing step2570   2023-06-23 11:58:52.553361
QCY: testing step2580   2023-06-23 11:58:53.590222
QCY: testing step2590   2023-06-23 11:58:54.689954
QCY: testing step2600   2023-06-23 11:58:55.704159
QCY: testing step2610   2023-06-23 11:58:56.729843
QCY: testing step2620   2023-06-23 11:58:57.809419
QCY: testing step2630   2023-06-23 11:58:58.847762
QCY: testing step2640   2023-06-23 11:58:59.900167
QCY: testing step2650   2023-06-23 11:59:00.926224
QCY: testing step2660   2023-06-23 11:59:01.972675
QCY: testing step2670   2023-06-23 11:59:03.027072
QCY: testing step2680   2023-06-23 11:59:04.069600
QCY: testing step2690   2023-06-23 11:59:05.135968
QCY: testing step2700   2023-06-23 11:59:06.211350
QCY: testing step2710   2023-06-23 11:59:07.286183
QCY: testing step2720   2023-06-23 11:59:08.399814
QCY: testing step2730   2023-06-23 11:59:09.504080
QCY: testing step2740   2023-06-23 11:59:10.569775
QCY: testing step2750   2023-06-23 11:59:11.637973
QCY: testing step2760   2023-06-23 11:59:12.716875
QCY: testing step2770   2023-06-23 11:59:13.838456
QCY: testing step2780   2023-06-23 11:59:14.968317
QCY: testing step2790   2023-06-23 11:59:16.100428
QCY: testing step2800   2023-06-23 11:59:17.187047
QCY: testing step2810   2023-06-23 11:59:18.291430
QCY: testing step2820   2023-06-23 11:59:19.444812
QCY: testing step2830   2023-06-23 11:59:20.522386
QCY: testing step2840   2023-06-23 11:59:21.620817
QCY: testing step2850   2023-06-23 11:59:22.712121
QCY: testing step2860   2023-06-23 11:59:23.789296
QCY: testing step2870   2023-06-23 11:59:24.883079
QCY: testing step2880   2023-06-23 11:59:25.971528
QCY: testing step2890   2023-06-23 11:59:27.076529
QCY: testing step2900   2023-06-23 11:59:28.179996
QCY: testing step2910   2023-06-23 11:59:29.281969
QCY: testing step2920   2023-06-23 11:59:30.394896
QCY: testing step2930   2023-06-23 11:59:31.505100
QCY: testing step2940   2023-06-23 11:59:32.603495
QCY: testing step2950   2023-06-23 11:59:33.721498
QCY: testing step2960   2023-06-23 11:59:34.854675
QCY: testing step2970   2023-06-23 11:59:35.997724
QCY: testing step2980   2023-06-23 11:59:37.123035
QCY: testing step2990   2023-06-23 11:59:38.247026
QCY: testing step3000   2023-06-23 11:59:39.376699
QCY: testing step3010   2023-06-23 11:59:40.470246
QCY: testing step3020   2023-06-23 11:59:41.617318
QCY: testing step3030   2023-06-23 11:59:42.749984
QCY: testing step3040   2023-06-23 11:59:43.872235
QCY: testing step3050   2023-06-23 11:59:45.028532
QCY: testing step3060   2023-06-23 11:59:46.172829
QCY: testing step3070   2023-06-23 11:59:47.278928
QCY: testing step3080   2023-06-23 11:59:48.393982
QCY: testing step3090   2023-06-23 11:59:49.490966
QCY: testing step3100   2023-06-23 11:59:50.580355
QCY: testing step3110   2023-06-23 11:59:51.857794
QCY: testing step3120   2023-06-23 11:59:53.024530
QCY: testing step3130   2023-06-23 11:59:54.176679
QCY: testing step3140   2023-06-23 11:59:55.361958
QCY: testing step3150   2023-06-23 11:59:56.644848
QCY: testing step3160   2023-06-23 11:59:57.932976
QCY: testing step3170   2023-06-23 11:59:59.130931
QCY: testing step3180   2023-06-23 12:00:00.340199
QCY: testing step3190   2023-06-23 12:00:01.520327
QCY: testing step3200   2023-06-23 12:00:02.724558
QCY: testing step3210   2023-06-23 12:00:03.932691
QCY: testing step3220   2023-06-23 12:00:05.232036
QCY: testing step3230   2023-06-23 12:00:06.685720
QCY: testing step3240   2023-06-23 12:00:08.089580
QCY: testing step3250   2023-06-23 12:00:09.473809
QCY: testing step3260   2023-06-23 12:00:10.860825
QCY: testing step3270   2023-06-23 12:00:12.288915
QCY: testing step3280   2023-06-23 12:00:13.512423
QCY: testing step3290   2023-06-23 12:00:14.743047
QCY: testing step3300   2023-06-23 12:00:16.052984
QCY: testing step3310   2023-06-23 12:00:17.318436
QCY: testing step3320   2023-06-23 12:00:18.592461
QCY: testing step3330   2023-06-23 12:00:19.872777
QCY: testing step3340   2023-06-23 12:00:21.121037
QCY: testing step3350   2023-06-23 12:00:22.412629
QCY: testing step3360   2023-06-23 12:00:23.638318
QCY: testing step3370   2023-06-23 12:00:24.872564
QCY: testing step3380   2023-06-23 12:00:26.116234
QCY: testing step3390   2023-06-23 12:00:27.383831
QCY: testing step3400   2023-06-23 12:00:28.621247
QCY: testing step3410   2023-06-23 12:00:29.858129
QCY: testing step3420   2023-06-23 12:00:31.094853
QCY: testing step3430   2023-06-23 12:00:32.383291
QCY: testing step3440   2023-06-23 12:00:33.672100
QCY: testing step3450   2023-06-23 12:00:34.922856
QCY: testing step3460   2023-06-23 12:00:36.222089
QCY: testing step3470   2023-06-23 12:00:37.560895
QCY: testing step3480   2023-06-23 12:00:38.868593
QCY: testing step3490   2023-06-23 12:00:40.132249
QCY: testing step3500   2023-06-23 12:00:41.440279
QCY: testing step3510   2023-06-23 12:00:42.776489
QCY: testing step3520   2023-06-23 12:00:44.010718
QCY: testing step3530   2023-06-23 12:00:45.289029
QCY: testing step3540   2023-06-23 12:00:46.552781
QCY: testing step3550   2023-06-23 12:00:47.795924
QCY: testing step3560   2023-06-23 12:00:49.034709
QCY: testing step3570   2023-06-23 12:00:50.284583
QCY: testing step3580   2023-06-23 12:00:51.540834
QCY: testing step3590   2023-06-23 12:00:52.827124
2023-06-23 12:00:54 (INFO): Final Travel Time is 836.8115, mean rewards: -1766.9083, queue: 35.1228, delay: 2.3646, throughput: 1554
2023-06-23 12:00:54 (INFO): Total time taken: 295.6468679904938
