nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-19 10:32:31.183852
QCY: testing step10   2023-07-19 10:32:31.349525
QCY: testing step20   2023-07-19 10:32:31.482993
QCY: testing step30   2023-07-19 10:32:31.621730
QCY: testing step40   2023-07-19 10:32:31.767419
QCY: testing step50   2023-07-19 10:32:31.917613
QCY: testing step60   2023-07-19 10:32:32.072145
QCY: testing step70   2023-07-19 10:32:32.235591
QCY: testing step80   2023-07-19 10:32:32.404883
QCY: testing step90   2023-07-19 10:32:32.580056
QCY: testing step100   2023-07-19 10:32:32.760105
QCY: testing step110   2023-07-19 10:32:32.944437
QCY: testing step120   2023-07-19 10:32:33.137396
QCY: testing step130   2023-07-19 10:32:33.342519
QCY: testing step140   2023-07-19 10:32:33.561289
QCY: testing step150   2023-07-19 10:32:33.778254
QCY: testing step160   2023-07-19 10:32:34.003197
QCY: testing step170   2023-07-19 10:32:34.231511
QCY: testing step180   2023-07-19 10:32:34.464511
QCY: testing step190   2023-07-19 10:32:34.713683
QCY: testing step200   2023-07-19 10:32:34.968277
QCY: testing step210   2023-07-19 10:32:35.278321
QCY: testing step220   2023-07-19 10:32:35.541592
QCY: testing step230   2023-07-19 10:32:35.810735
QCY: testing step240   2023-07-19 10:32:36.094064
QCY: testing step250   2023-07-19 10:32:36.379537
QCY: testing step260   2023-07-19 10:32:36.668353
QCY: testing step270   2023-07-19 10:32:36.966051
QCY: testing step280   2023-07-19 10:32:37.273184
QCY: testing step290   2023-07-19 10:32:37.668219
QCY: testing step300   2023-07-19 10:32:37.981838
QCY: testing step310   2023-07-19 10:32:38.298269
QCY: testing step320   2023-07-19 10:32:38.614553
QCY: testing step330   2023-07-19 10:32:38.944032
QCY: testing step340   2023-07-19 10:32:39.267551
QCY: testing step350   2023-07-19 10:32:39.592907
QCY: testing step360   2023-07-19 10:32:39.923784
QCY: testing step370   2023-07-19 10:32:40.282158
QCY: testing step380   2023-07-19 10:32:40.644501
QCY: testing step390   2023-07-19 10:32:41.020706
QCY: testing step400   2023-07-19 10:32:41.408315
QCY: testing step410   2023-07-19 10:32:41.853034
QCY: testing step420   2023-07-19 10:32:42.233226
QCY: testing step430   2023-07-19 10:32:42.622986
QCY: testing step440   2023-07-19 10:32:43.009296
QCY: testing step450   2023-07-19 10:32:43.404579
QCY: testing step460   2023-07-19 10:32:43.799603
QCY: testing step470   2023-07-19 10:32:44.214475
QCY: testing step480   2023-07-19 10:32:44.620832
QCY: testing step490   2023-07-19 10:32:45.038982
QCY: testing step500   2023-07-19 10:32:45.479749
QCY: testing step510   2023-07-19 10:32:45.927453
QCY: testing step520   2023-07-19 10:32:46.373050
QCY: testing step530   2023-07-19 10:32:46.831154
QCY: testing step540   2023-07-19 10:32:47.297044
QCY: testing step550   2023-07-19 10:32:47.775277
QCY: testing step560   2023-07-19 10:32:48.275533
QCY: testing step570   2023-07-19 10:32:48.785156
QCY: testing step580   2023-07-19 10:32:49.287381
QCY: testing step590   2023-07-19 10:32:49.791320
QCY: testing step600   2023-07-19 10:32:50.301108
QCY: testing step610   2023-07-19 10:32:50.883548
QCY: testing step620   2023-07-19 10:32:51.442227
QCY: testing step630   2023-07-19 10:32:52.025354
QCY: testing step640   2023-07-19 10:32:52.635046
QCY: testing step650   2023-07-19 10:32:53.251029
QCY: testing step660   2023-07-19 10:32:53.804261
QCY: testing step670   2023-07-19 10:32:54.387921
QCY: testing step680   2023-07-19 10:32:55.002118
QCY: testing step690   2023-07-19 10:32:55.591207
QCY: testing step700   2023-07-19 10:32:56.189887
QCY: testing step710   2023-07-19 10:32:56.796068
QCY: testing step720   2023-07-19 10:32:57.401649
QCY: testing step730   2023-07-19 10:32:58.007606
QCY: testing step740   2023-07-19 10:32:58.623664
QCY: testing step750   2023-07-19 10:32:59.251274
QCY: testing step760   2023-07-19 10:32:59.882981
QCY: testing step770   2023-07-19 10:33:00.541954
QCY: testing step780   2023-07-19 10:33:01.194632
QCY: testing step790   2023-07-19 10:33:01.866510
QCY: testing step800   2023-07-19 10:33:02.516246
QCY: testing step810   2023-07-19 10:33:03.281220
QCY: testing step820   2023-07-19 10:33:03.954987
QCY: testing step830   2023-07-19 10:33:04.658503
QCY: testing step840   2023-07-19 10:33:05.340002
QCY: testing step850   2023-07-19 10:33:05.999037
QCY: testing step860   2023-07-19 10:33:06.640555
QCY: testing step870   2023-07-19 10:33:07.320066
QCY: testing step880   2023-07-19 10:33:07.997735
QCY: testing step890   2023-07-19 10:33:08.684735
QCY: testing step900   2023-07-19 10:33:09.371429
QCY: testing step910   2023-07-19 10:33:10.028638
QCY: testing step920   2023-07-19 10:33:10.808119
QCY: testing step930   2023-07-19 10:33:11.485564
QCY: testing step940   2023-07-19 10:33:12.186452
QCY: testing step950   2023-07-19 10:33:12.888482
QCY: testing step960   2023-07-19 10:33:13.591698
QCY: testing step970   2023-07-19 10:33:14.314616
QCY: testing step980   2023-07-19 10:33:15.017076
QCY: testing step990   2023-07-19 10:33:15.711738
QCY: testing step1000   2023-07-19 10:33:16.415615
QCY: testing step1010   2023-07-19 10:33:17.188849
QCY: testing step1020   2023-07-19 10:33:17.926127
QCY: testing step1030   2023-07-19 10:33:18.659941
QCY: testing step1040   2023-07-19 10:33:19.450744
QCY: testing step1050   2023-07-19 10:33:20.286769
QCY: testing step1060   2023-07-19 10:33:21.164621
QCY: testing step1070   2023-07-19 10:33:22.064971
QCY: testing step1080   2023-07-19 10:33:23.067567
QCY: testing step1090   2023-07-19 10:33:24.034018
QCY: testing step1100   2023-07-19 10:33:25.022215
QCY: testing step1110   2023-07-19 10:33:26.059098
QCY: testing step1120   2023-07-19 10:33:26.988796
QCY: testing step1130   2023-07-19 10:33:28.030971
QCY: testing step1140   2023-07-19 10:33:28.911049
QCY: testing step1150   2023-07-19 10:33:29.818527
QCY: testing step1160   2023-07-19 10:33:30.731891
QCY: testing step1170   2023-07-19 10:33:31.687027
QCY: testing step1180   2023-07-19 10:33:32.705451
QCY: testing step1190   2023-07-19 10:33:33.698124
QCY: testing step1200   2023-07-19 10:33:34.651190
QCY: testing step1210   2023-07-19 10:33:35.695679
QCY: testing step1220   2023-07-19 10:33:36.714089
QCY: testing step1230   2023-07-19 10:33:37.717903
QCY: testing step1240   2023-07-19 10:33:38.727514
QCY: testing step1250   2023-07-19 10:33:39.754966
QCY: testing step1260   2023-07-19 10:33:40.783128
QCY: testing step1270   2023-07-19 10:33:41.824969
QCY: testing step1280   2023-07-19 10:33:42.902872
QCY: testing step1290   2023-07-19 10:33:43.987230
QCY: testing step1300   2023-07-19 10:33:45.075614
QCY: testing step1310   2023-07-19 10:33:46.199879
QCY: testing step1320   2023-07-19 10:33:47.324041
QCY: testing step1330   2023-07-19 10:33:48.434496
QCY: testing step1340   2023-07-19 10:33:49.562045
QCY: testing step1350   2023-07-19 10:33:50.690628
QCY: testing step1360   2023-07-19 10:33:51.846567
QCY: testing step1370   2023-07-19 10:33:53.027329
QCY: testing step1380   2023-07-19 10:33:54.223866
QCY: testing step1390   2023-07-19 10:33:55.362269
QCY: testing step1400   2023-07-19 10:33:56.520019
QCY: testing step1410   2023-07-19 10:33:57.728601
QCY: testing step1420   2023-07-19 10:33:58.957342
QCY: testing step1430   2023-07-19 10:34:00.151750
QCY: testing step1440   2023-07-19 10:34:01.446826
QCY: testing step1450   2023-07-19 10:34:02.711960
QCY: testing step1460   2023-07-19 10:34:04.053355
QCY: testing step1470   2023-07-19 10:34:05.393694
QCY: testing step1480   2023-07-19 10:34:06.845713
QCY: testing step1490   2023-07-19 10:34:08.325765
QCY: testing step1500   2023-07-19 10:34:09.835811
QCY: testing step1510   2023-07-19 10:34:11.328400
QCY: testing step1520   2023-07-19 10:34:12.844944
QCY: testing step1530   2023-07-19 10:34:14.325707
QCY: testing step1540   2023-07-19 10:34:15.832909
QCY: testing step1550   2023-07-19 10:34:17.306604
QCY: testing step1560   2023-07-19 10:34:18.772513
QCY: testing step1570   2023-07-19 10:34:20.265355
QCY: testing step1580   2023-07-19 10:34:21.744262
QCY: testing step1590   2023-07-19 10:34:23.314558
QCY: testing step1600   2023-07-19 10:34:24.776103
QCY: testing step1610   2023-07-19 10:34:26.396881
QCY: testing step1620   2023-07-19 10:34:28.036344
QCY: testing step1630   2023-07-19 10:34:29.607534
QCY: testing step1640   2023-07-19 10:34:31.258058
QCY: testing step1650   2023-07-19 10:34:32.868413
QCY: testing step1660   2023-07-19 10:34:34.410390
QCY: testing step1670   2023-07-19 10:34:35.933253
QCY: testing step1680   2023-07-19 10:34:37.572651
QCY: testing step1690   2023-07-19 10:34:39.199359
QCY: testing step1700   2023-07-19 10:34:40.862507
QCY: testing step1710   2023-07-19 10:34:42.537910
QCY: testing step1720   2023-07-19 10:34:44.206549
QCY: testing step1730   2023-07-19 10:34:45.899614
QCY: testing step1740   2023-07-19 10:34:47.552445
QCY: testing step1750   2023-07-19 10:34:49.232984
QCY: testing step1760   2023-07-19 10:34:50.994497
QCY: testing step1770   2023-07-19 10:34:52.726525
QCY: testing step1780   2023-07-19 10:34:54.444974
QCY: testing step1790   2023-07-19 10:34:56.161894
QCY: testing step1800   2023-07-19 10:34:57.856331
QCY: testing step1810   2023-07-19 10:34:59.652303
QCY: testing step1820   2023-07-19 10:35:01.398009
QCY: testing step1830   2023-07-19 10:35:03.219699
QCY: testing step1840   2023-07-19 10:35:04.972274
QCY: testing step1850   2023-07-19 10:35:06.766395
QCY: testing step1860   2023-07-19 10:35:08.555539
QCY: testing step1870   2023-07-19 10:35:10.318175
QCY: testing step1880   2023-07-19 10:35:12.117437
QCY: testing step1890   2023-07-19 10:35:13.906137
QCY: testing step1900   2023-07-19 10:35:15.760184
QCY: testing step1910   2023-07-19 10:35:17.682501
QCY: testing step1920   2023-07-19 10:35:19.658088
QCY: testing step1930   2023-07-19 10:35:21.479753
QCY: testing step1940   2023-07-19 10:35:23.278517
QCY: testing step1950   2023-07-19 10:35:25.053625
QCY: testing step1960   2023-07-19 10:35:26.896595
QCY: testing step1970   2023-07-19 10:35:28.904569
QCY: testing step1980   2023-07-19 10:35:30.817125
QCY: testing step1990   2023-07-19 10:35:33.062707
QCY: testing step2000   2023-07-19 10:35:35.056007
QCY: testing step2010   2023-07-19 10:35:37.077105
QCY: testing step2020   2023-07-19 10:35:39.111038
QCY: testing step2030   2023-07-19 10:35:41.180411
QCY: testing step2040   2023-07-19 10:35:43.215891
QCY: testing step2050   2023-07-19 10:35:45.172849
QCY: testing step2060   2023-07-19 10:35:47.228305
QCY: testing step2070   2023-07-19 10:35:49.258044
QCY: testing step2080   2023-07-19 10:35:51.268372
QCY: testing step2090   2023-07-19 10:35:53.289219
QCY: testing step2100   2023-07-19 10:35:55.316364
QCY: testing step2110   2023-07-19 10:35:57.585728
QCY: testing step2120   2023-07-19 10:35:59.846759
QCY: testing step2130   2023-07-19 10:36:02.005901
QCY: testing step2140   2023-07-19 10:36:04.156975
QCY: testing step2150   2023-07-19 10:36:06.273980
QCY: testing step2160   2023-07-19 10:36:08.315694
QCY: testing step2170   2023-07-19 10:36:10.573660
QCY: testing step2180   2023-07-19 10:36:12.686101
QCY: testing step2190   2023-07-19 10:36:14.958552
QCY: testing step2200   2023-07-19 10:36:17.022543
QCY: testing step2210   2023-07-19 10:36:19.107032
QCY: testing step2220   2023-07-19 10:36:21.099755
QCY: testing step2230   2023-07-19 10:36:23.151005
QCY: testing step2240   2023-07-19 10:36:25.242827
QCY: testing step2250   2023-07-19 10:36:27.339887
QCY: testing step2260   2023-07-19 10:36:29.437051
QCY: testing step2270   2023-07-19 10:36:31.533427
QCY: testing step2280   2023-07-19 10:36:33.633096
QCY: testing step2290   2023-07-19 10:36:35.732033
QCY: testing step2300   2023-07-19 10:36:37.906567
QCY: testing step2310   2023-07-19 10:36:40.079748
QCY: testing step2320   2023-07-19 10:36:42.200842
QCY: testing step2330   2023-07-19 10:36:44.324469
QCY: testing step2340   2023-07-19 10:36:46.461622
QCY: testing step2350   2023-07-19 10:36:48.599647
QCY: testing step2360   2023-07-19 10:36:50.787295
QCY: testing step2370   2023-07-19 10:36:52.972418
QCY: testing step2380   2023-07-19 10:36:55.159107
QCY: testing step2390   2023-07-19 10:36:57.409099
QCY: testing step2400   2023-07-19 10:36:59.655961
QCY: testing step2410   2023-07-19 10:37:01.904408
QCY: testing step2420   2023-07-19 10:37:04.115131
QCY: testing step2430   2023-07-19 10:37:06.340267
QCY: testing step2440   2023-07-19 10:37:08.587385
QCY: testing step2450   2023-07-19 10:37:10.891005
QCY: testing step2460   2023-07-19 10:37:13.227478
QCY: testing step2470   2023-07-19 10:37:15.538069
QCY: testing step2480   2023-07-19 10:37:17.830986
QCY: testing step2490   2023-07-19 10:37:20.073947
QCY: testing step2500   2023-07-19 10:37:22.364366
QCY: testing step2510   2023-07-19 10:37:24.727234
QCY: testing step2520   2023-07-19 10:37:27.052076
QCY: testing step2530   2023-07-19 10:37:29.402394
QCY: testing step2540   2023-07-19 10:37:31.792571
QCY: testing step2550   2023-07-19 10:37:34.215033
QCY: testing step2560   2023-07-19 10:37:36.657158
QCY: testing step2570   2023-07-19 10:37:39.160327
QCY: testing step2580   2023-07-19 10:37:41.773280
QCY: testing step2590   2023-07-19 10:37:44.228630
QCY: testing step2600   2023-07-19 10:37:46.714883
QCY: testing step2610   2023-07-19 10:37:49.292472
QCY: testing step2620   2023-07-19 10:37:51.786113
QCY: testing step2630   2023-07-19 10:37:54.366279
QCY: testing step2640   2023-07-19 10:37:56.938432
QCY: testing step2650   2023-07-19 10:37:59.450532
QCY: testing step2660   2023-07-19 10:38:01.970018
QCY: testing step2670   2023-07-19 10:38:04.497082
QCY: testing step2680   2023-07-19 10:38:06.998459
QCY: testing step2690   2023-07-19 10:38:09.538196
QCY: testing step2700   2023-07-19 10:38:12.079585
QCY: testing step2710   2023-07-19 10:38:14.642128
QCY: testing step2720   2023-07-19 10:38:17.187189
QCY: testing step2730   2023-07-19 10:38:19.690726
QCY: testing step2740   2023-07-19 10:38:22.126486
QCY: testing step2750   2023-07-19 10:38:24.558436
QCY: testing step2760   2023-07-19 10:38:27.022213
QCY: testing step2770   2023-07-19 10:38:29.488097
QCY: testing step2780   2023-07-19 10:38:32.183421
QCY: testing step2790   2023-07-19 10:38:34.817763
QCY: testing step2800   2023-07-19 10:38:37.372243
QCY: testing step2810   2023-07-19 10:38:40.011020
QCY: testing step2820   2023-07-19 10:38:42.597959
QCY: testing step2830   2023-07-19 10:38:45.272392
QCY: testing step2840   2023-07-19 10:38:47.843036
QCY: testing step2850   2023-07-19 10:38:50.394311
QCY: testing step2860   2023-07-19 10:38:52.941841
QCY: testing step2870   2023-07-19 10:38:55.534160
QCY: testing step2880   2023-07-19 10:38:58.078686
QCY: testing step2890   2023-07-19 10:39:00.723162
QCY: testing step2900   2023-07-19 10:39:03.388013
QCY: testing step2910   2023-07-19 10:39:06.041410
QCY: testing step2920   2023-07-19 10:39:08.692287
QCY: testing step2930   2023-07-19 10:39:11.425316
QCY: testing step2940   2023-07-19 10:39:14.141287
QCY: testing step2950   2023-07-19 10:39:16.790031
QCY: testing step2960   2023-07-19 10:39:19.422771
QCY: testing step2970   2023-07-19 10:39:22.040984
QCY: testing step2980   2023-07-19 10:39:24.674269
QCY: testing step2990   2023-07-19 10:39:27.399269
QCY: testing step3000   2023-07-19 10:39:30.098494
QCY: testing step3010   2023-07-19 10:39:32.788215
QCY: testing step3020   2023-07-19 10:39:35.369126
QCY: testing step3030   2023-07-19 10:39:37.873589
QCY: testing step3040   2023-07-19 10:39:40.465433
QCY: testing step3050   2023-07-19 10:39:43.106855
QCY: testing step3060   2023-07-19 10:39:45.866111
QCY: testing step3070   2023-07-19 10:39:48.527718
QCY: testing step3080   2023-07-19 10:39:51.590634
QCY: testing step3090   2023-07-19 10:39:54.364514
QCY: testing step3100   2023-07-19 10:39:57.064378
QCY: testing step3110   2023-07-19 10:39:59.881287
QCY: testing step3120   2023-07-19 10:40:02.693520
QCY: testing step3130   2023-07-19 10:40:05.435997
QCY: testing step3140   2023-07-19 10:40:08.327420
QCY: testing step3150   2023-07-19 10:40:11.242419
QCY: testing step3160   2023-07-19 10:40:14.125081
QCY: testing step3170   2023-07-19 10:40:17.042170
QCY: testing step3180   2023-07-19 10:40:19.915527
QCY: testing step3190   2023-07-19 10:40:22.844358
QCY: testing step3200   2023-07-19 10:40:25.816359
QCY: testing step3210   2023-07-19 10:40:28.834272
QCY: testing step3220   2023-07-19 10:40:31.716059
QCY: testing step3230   2023-07-19 10:40:34.708053
QCY: testing step3240   2023-07-19 10:40:37.657151
QCY: testing step3250   2023-07-19 10:40:40.573384
QCY: testing step3260   2023-07-19 10:40:43.560885
QCY: testing step3270   2023-07-19 10:40:46.639786
QCY: testing step3280   2023-07-19 10:40:49.563316
QCY: testing step3290   2023-07-19 10:40:52.498907
QCY: testing step3300   2023-07-19 10:40:55.437016
QCY: testing step3310   2023-07-19 10:40:58.408146
QCY: testing step3320   2023-07-19 10:41:01.440456
QCY: testing step3330   2023-07-19 10:41:04.473567
QCY: testing step3340   2023-07-19 10:41:07.465425
QCY: testing step3350   2023-07-19 10:41:10.528065
QCY: testing step3360   2023-07-19 10:41:13.587411
QCY: testing step3370   2023-07-19 10:41:16.588247
QCY: testing step3380   2023-07-19 10:41:19.675114
QCY: testing step3390   2023-07-19 10:41:22.667595
QCY: testing step3400   2023-07-19 10:41:25.893074
QCY: testing step3410   2023-07-19 10:41:29.537694
QCY: testing step3420   2023-07-19 10:41:32.602473
QCY: testing step3430   2023-07-19 10:41:35.680213
QCY: testing step3440   2023-07-19 10:41:38.841038
QCY: testing step3450   2023-07-19 10:41:41.951900
QCY: testing step3460   2023-07-19 10:41:45.061307
QCY: testing step3470   2023-07-19 10:41:48.135834
QCY: testing step3480   2023-07-19 10:41:51.096151
QCY: testing step3490   2023-07-19 10:41:53.991273
QCY: testing step3500   2023-07-19 10:41:56.953495
QCY: testing step3510   2023-07-19 10:41:59.845162
QCY: testing step3520   2023-07-19 10:42:02.837006
QCY: testing step3530   2023-07-19 10:42:05.858828
QCY: testing step3540   2023-07-19 10:42:08.863067
QCY: testing step3550   2023-07-19 10:42:11.812917
QCY: testing step3560   2023-07-19 10:42:14.763903
QCY: testing step3570   2023-07-19 10:42:17.648382
QCY: testing step3580   2023-07-19 10:42:20.542177
QCY: testing step3590   2023-07-19 10:42:23.517521
2023-07-19 10:42:26 (INFO): Final Travel Time is 750.7649, mean rewards: -3156.0434, queue: 62.1743, delay: 5.9578, throughput: 2671
2023-07-19 10:42:26 (INFO): Total time taken: 595.8878359794617
