nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: Maxpressure Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  maxpressure
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-19 10:32:59.030734
QCY: testing step10   2023-07-19 10:32:59.197964
QCY: testing step20   2023-07-19 10:32:59.333983
QCY: testing step30   2023-07-19 10:32:59.481940
QCY: testing step40   2023-07-19 10:32:59.630131
QCY: testing step50   2023-07-19 10:32:59.783000
QCY: testing step60   2023-07-19 10:32:59.942463
QCY: testing step70   2023-07-19 10:33:00.111997
QCY: testing step80   2023-07-19 10:33:00.285417
QCY: testing step90   2023-07-19 10:33:00.465783
QCY: testing step100   2023-07-19 10:33:00.655219
QCY: testing step110   2023-07-19 10:33:00.845902
QCY: testing step120   2023-07-19 10:33:01.051837
QCY: testing step130   2023-07-19 10:33:01.261328
QCY: testing step140   2023-07-19 10:33:01.474032
QCY: testing step150   2023-07-19 10:33:01.695269
QCY: testing step160   2023-07-19 10:33:01.928947
QCY: testing step170   2023-07-19 10:33:02.168506
QCY: testing step180   2023-07-19 10:33:02.407586
QCY: testing step190   2023-07-19 10:33:02.658324
QCY: testing step200   2023-07-19 10:33:02.924869
QCY: testing step210   2023-07-19 10:33:03.263447
QCY: testing step220   2023-07-19 10:33:03.546878
QCY: testing step230   2023-07-19 10:33:03.844578
QCY: testing step240   2023-07-19 10:33:04.131743
QCY: testing step250   2023-07-19 10:33:04.426484
QCY: testing step260   2023-07-19 10:33:04.730901
QCY: testing step270   2023-07-19 10:33:05.041133
QCY: testing step280   2023-07-19 10:33:05.360494
QCY: testing step290   2023-07-19 10:33:05.693579
QCY: testing step300   2023-07-19 10:33:06.017190
QCY: testing step310   2023-07-19 10:33:06.333184
QCY: testing step320   2023-07-19 10:33:06.650456
QCY: testing step330   2023-07-19 10:33:07.006490
QCY: testing step340   2023-07-19 10:33:07.376207
QCY: testing step350   2023-07-19 10:33:07.748972
QCY: testing step360   2023-07-19 10:33:08.133558
QCY: testing step370   2023-07-19 10:33:08.561162
QCY: testing step380   2023-07-19 10:33:08.994308
QCY: testing step390   2023-07-19 10:33:09.382838
QCY: testing step400   2023-07-19 10:33:09.763119
QCY: testing step410   2023-07-19 10:33:10.237256
QCY: testing step420   2023-07-19 10:33:10.720454
QCY: testing step430   2023-07-19 10:33:11.152530
QCY: testing step440   2023-07-19 10:33:11.604832
QCY: testing step450   2023-07-19 10:33:12.036911
QCY: testing step460   2023-07-19 10:33:12.489839
QCY: testing step470   2023-07-19 10:33:12.932861
QCY: testing step480   2023-07-19 10:33:13.373628
QCY: testing step490   2023-07-19 10:33:13.824042
QCY: testing step500   2023-07-19 10:33:14.294212
QCY: testing step510   2023-07-19 10:33:14.771521
QCY: testing step520   2023-07-19 10:33:15.279604
QCY: testing step530   2023-07-19 10:33:15.783265
QCY: testing step540   2023-07-19 10:33:16.278596
QCY: testing step550   2023-07-19 10:33:16.789907
QCY: testing step560   2023-07-19 10:33:17.287026
QCY: testing step570   2023-07-19 10:33:17.777586
QCY: testing step580   2023-07-19 10:33:18.276814
QCY: testing step590   2023-07-19 10:33:18.798351
QCY: testing step600   2023-07-19 10:33:19.352889
QCY: testing step610   2023-07-19 10:33:19.976704
QCY: testing step620   2023-07-19 10:33:20.544636
QCY: testing step630   2023-07-19 10:33:21.120985
