nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: SOTL Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  sotl
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-19 10:32:41.752500
QCY: testing step10   2023-07-19 10:32:41.906594
QCY: testing step20   2023-07-19 10:32:42.035012
QCY: testing step30   2023-07-19 10:32:42.164587
QCY: testing step40   2023-07-19 10:32:42.297929
QCY: testing step50   2023-07-19 10:32:42.436248
QCY: testing step60   2023-07-19 10:32:42.579826
QCY: testing step70   2023-07-19 10:32:42.733640
QCY: testing step80   2023-07-19 10:32:42.891001
QCY: testing step90   2023-07-19 10:32:43.061711
QCY: testing step100   2023-07-19 10:32:43.238781
QCY: testing step110   2023-07-19 10:32:43.423124
QCY: testing step120   2023-07-19 10:32:43.604628
QCY: testing step130   2023-07-19 10:32:43.795822
QCY: testing step140   2023-07-19 10:32:43.991864
QCY: testing step150   2023-07-19 10:32:44.201098
QCY: testing step160   2023-07-19 10:32:44.408691
QCY: testing step170   2023-07-19 10:32:44.622174
QCY: testing step180   2023-07-19 10:32:44.843010
QCY: testing step190   2023-07-19 10:32:45.072062
QCY: testing step200   2023-07-19 10:32:45.312902
QCY: testing step210   2023-07-19 10:32:45.611672
QCY: testing step220   2023-07-19 10:32:45.857021
QCY: testing step230   2023-07-19 10:32:46.110687
QCY: testing step240   2023-07-19 10:32:46.377719
QCY: testing step250   2023-07-19 10:32:46.645070
QCY: testing step260   2023-07-19 10:32:46.920284
QCY: testing step270   2023-07-19 10:32:47.213538
QCY: testing step280   2023-07-19 10:32:47.504243
QCY: testing step290   2023-07-19 10:32:47.814234
QCY: testing step300   2023-07-19 10:32:48.118443
QCY: testing step310   2023-07-19 10:32:48.435265
QCY: testing step320   2023-07-19 10:32:48.746732
QCY: testing step330   2023-07-19 10:32:49.077150
QCY: testing step340   2023-07-19 10:32:49.409103
QCY: testing step350   2023-07-19 10:32:49.737757
QCY: testing step360   2023-07-19 10:32:50.079830
QCY: testing step370   2023-07-19 10:32:50.424262
QCY: testing step380   2023-07-19 10:32:50.780810
QCY: testing step390   2023-07-19 10:32:51.183941
QCY: testing step400   2023-07-19 10:32:51.571701
QCY: testing step410   2023-07-19 10:32:52.060847
QCY: testing step420   2023-07-19 10:32:52.493825
QCY: testing step430   2023-07-19 10:32:52.914696
QCY: testing step440   2023-07-19 10:32:53.342249
QCY: testing step450   2023-07-19 10:32:53.759614
QCY: testing step460   2023-07-19 10:32:54.201396
QCY: testing step470   2023-07-19 10:32:54.710410
QCY: testing step480   2023-07-19 10:32:55.153725
QCY: testing step490   2023-07-19 10:32:55.609609
QCY: testing step500   2023-07-19 10:32:56.072231
QCY: testing step510   2023-07-19 10:32:56.541470
QCY: testing step520   2023-07-19 10:32:57.019247
QCY: testing step530   2023-07-19 10:32:57.489158
QCY: testing step540   2023-07-19 10:32:57.957819
QCY: testing step550   2023-07-19 10:32:58.421986
QCY: testing step560   2023-07-19 10:32:58.928813
QCY: testing step570   2023-07-19 10:32:59.413299
QCY: testing step580   2023-07-19 10:32:59.906321
QCY: testing step590   2023-07-19 10:33:00.426720
QCY: testing step600   2023-07-19 10:33:00.937001
QCY: testing step610   2023-07-19 10:33:01.528715
QCY: testing step620   2023-07-19 10:33:02.054713
QCY: testing step630   2023-07-19 10:33:02.581222
QCY: testing step640   2023-07-19 10:33:03.119606
QCY: testing step650   2023-07-19 10:33:03.666688
QCY: testing step660   2023-07-19 10:33:04.210790
QCY: testing step670   2023-07-19 10:33:04.757415
QCY: testing step680   2023-07-19 10:33:05.313383
QCY: testing step690   2023-07-19 10:33:05.878821
QCY: testing step700   2023-07-19 10:33:06.419386
QCY: testing step710   2023-07-19 10:33:06.977569
QCY: testing step720   2023-07-19 10:33:07.577518
QCY: testing step730   2023-07-19 10:33:08.190715
QCY: testing step740   2023-07-19 10:33:08.827861
QCY: testing step750   2023-07-19 10:33:09.483490
QCY: testing step760   2023-07-19 10:33:10.122216
QCY: testing step770   2023-07-19 10:33:10.847930
QCY: testing step780   2023-07-19 10:33:11.509618
QCY: testing step790   2023-07-19 10:33:12.180113
QCY: testing step800   2023-07-19 10:33:12.851547
QCY: testing step810   2023-07-19 10:33:13.588750
QCY: testing step820   2023-07-19 10:33:14.274706
QCY: testing step830   2023-07-19 10:33:14.942859
QCY: testing step840   2023-07-19 10:33:15.648622
QCY: testing step850   2023-07-19 10:33:16.351401
QCY: testing step860   2023-07-19 10:33:17.050424
QCY: testing step870   2023-07-19 10:33:17.731461
QCY: testing step880   2023-07-19 10:33:18.425744
QCY: testing step890   2023-07-19 10:33:19.159830
QCY: testing step900   2023-07-19 10:33:19.888079
QCY: testing step910   2023-07-19 10:33:20.669986
QCY: testing step920   2023-07-19 10:33:21.433397
QCY: testing step930   2023-07-19 10:33:22.309894
QCY: testing step940   2023-07-19 10:33:23.108777
QCY: testing step950   2023-07-19 10:33:23.862176
QCY: testing step960   2023-07-19 10:33:24.633862
QCY: testing step970   2023-07-19 10:33:25.424046
QCY: testing step980   2023-07-19 10:33:26.214674
QCY: testing step990   2023-07-19 10:33:27.008209
QCY: testing step1000   2023-07-19 10:33:27.809776
QCY: testing step1010   2023-07-19 10:33:28.679647
QCY: testing step1020   2023-07-19 10:33:29.487704
QCY: testing step1030   2023-07-19 10:33:30.308372
QCY: testing step1040   2023-07-19 10:33:31.123574
QCY: testing step1050   2023-07-19 10:33:31.936169
QCY: testing step1060   2023-07-19 10:33:32.753755
QCY: testing step1070   2023-07-19 10:33:33.584268
QCY: testing step1080   2023-07-19 10:33:34.435668
QCY: testing step1090   2023-07-19 10:33:35.285529
QCY: testing step1100   2023-07-19 10:33:36.136508
QCY: testing step1110   2023-07-19 10:33:36.997369
QCY: testing step1120   2023-07-19 10:33:37.866602
QCY: testing step1130   2023-07-19 10:33:38.746198
QCY: testing step1140   2023-07-19 10:33:39.640915
QCY: testing step1150   2023-07-19 10:33:40.522646
QCY: testing step1160   2023-07-19 10:33:41.388019
QCY: testing step1170   2023-07-19 10:33:42.255565
QCY: testing step1180   2023-07-19 10:33:43.128489
QCY: testing step1190   2023-07-19 10:33:44.002018
QCY: testing step1200   2023-07-19 10:33:44.884114
QCY: testing step1210   2023-07-19 10:33:45.832059
QCY: testing step1220   2023-07-19 10:33:46.721701
QCY: testing step1230   2023-07-19 10:33:47.623011
QCY: testing step1240   2023-07-19 10:33:48.517343
QCY: testing step1250   2023-07-19 10:33:49.416795
QCY: testing step1260   2023-07-19 10:33:50.329002
QCY: testing step1270   2023-07-19 10:33:51.236571
QCY: testing step1280   2023-07-19 10:33:52.159270
QCY: testing step1290   2023-07-19 10:33:53.071524
QCY: testing step1300   2023-07-19 10:33:53.994375
QCY: testing step1310   2023-07-19 10:33:54.926449
QCY: testing step1320   2023-07-19 10:33:55.863727
QCY: testing step1330   2023-07-19 10:33:56.825889
QCY: testing step1340   2023-07-19 10:33:57.806993
QCY: testing step1350   2023-07-19 10:33:58.813651
QCY: testing step1360   2023-07-19 10:33:59.826728
QCY: testing step1370   2023-07-19 10:34:00.967206
QCY: testing step1380   2023-07-19 10:34:01.994939
QCY: testing step1390   2023-07-19 10:34:03.024060
QCY: testing step1400   2023-07-19 10:34:04.083889
QCY: testing step1410   2023-07-19 10:34:05.226455
QCY: testing step1420   2023-07-19 10:34:06.358432
QCY: testing step1430   2023-07-19 10:34:07.427267
QCY: testing step1440   2023-07-19 10:34:08.515509
QCY: testing step1450   2023-07-19 10:34:09.611839
QCY: testing step1460   2023-07-19 10:34:10.692935
QCY: testing step1470   2023-07-19 10:34:11.849186
QCY: testing step1480   2023-07-19 10:34:12.924747
QCY: testing step1490   2023-07-19 10:34:14.024952
QCY: testing step1500   2023-07-19 10:34:15.141172
QCY: testing step1510   2023-07-19 10:34:16.264860
QCY: testing step1520   2023-07-19 10:34:17.384904
QCY: testing step1530   2023-07-19 10:34:18.522800
QCY: testing step1540   2023-07-19 10:34:19.670422
QCY: testing step1550   2023-07-19 10:34:20.831668
QCY: testing step1560   2023-07-19 10:34:22.291306
QCY: testing step1570   2023-07-19 10:34:23.485967
QCY: testing step1580   2023-07-19 10:34:24.707253
QCY: testing step1590   2023-07-19 10:34:25.933077
QCY: testing step1600   2023-07-19 10:34:27.136539
QCY: testing step1610   2023-07-19 10:34:28.460460
QCY: testing step1620   2023-07-19 10:34:29.763114
QCY: testing step1630   2023-07-19 10:34:30.968929
QCY: testing step1640   2023-07-19 10:34:32.197818
QCY: testing step1650   2023-07-19 10:34:33.417986
QCY: testing step1660   2023-07-19 10:34:34.675027
QCY: testing step1670   2023-07-19 10:34:35.938231
QCY: testing step1680   2023-07-19 10:34:37.158784
QCY: testing step1690   2023-07-19 10:34:38.475786
QCY: testing step1700   2023-07-19 10:34:39.790065
QCY: testing step1710   2023-07-19 10:34:41.120187
QCY: testing step1720   2023-07-19 10:34:42.358627
QCY: testing step1730   2023-07-19 10:34:43.631464
QCY: testing step1740   2023-07-19 10:34:44.860402
QCY: testing step1750   2023-07-19 10:34:46.119936
