nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
intersection intersection_3_3 malfunction~~~
intersection intersection_3_6 malfunction~~~
intersection intersection_5_3 malfunction~~~
intersection intersection_5_6 malfunction~~~
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
intersection intersection_3_3 malfunction~~~
intersection intersection_3_6 malfunction~~~
intersection intersection_5_3 malfunction~~~
intersection intersection_5_6 malfunction~~~
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
intersection intersection_3_3 malfunction~~~
intersection intersection_3_6 malfunction~~~
intersection intersection_5_3 malfunction~~~
intersection intersection_5_6 malfunction~~~
QCY: testing step0   2023-07-13 22:52:06.663859
QCY: testing step10   2023-07-13 22:52:06.851446
QCY: testing step20   2023-07-13 22:52:07.000180
QCY: testing step30   2023-07-13 22:52:07.156520
QCY: testing step40   2023-07-13 22:52:07.324820
QCY: testing step50   2023-07-13 22:52:07.493404
QCY: testing step60   2023-07-13 22:52:07.668897
QCY: testing step70   2023-07-13 22:52:07.941660
QCY: testing step80   2023-07-13 22:52:08.129680
QCY: testing step90   2023-07-13 22:52:08.324767
QCY: testing step100   2023-07-13 22:52:08.526361
QCY: testing step110   2023-07-13 22:52:08.736598
QCY: testing step120   2023-07-13 22:52:08.952112
QCY: testing step130   2023-07-13 22:52:09.184250
QCY: testing step140   2023-07-13 22:52:09.422407
QCY: testing step150   2023-07-13 22:52:09.677095
QCY: testing step160   2023-07-13 22:52:09.934019
QCY: testing step170   2023-07-13 22:52:10.196038
QCY: testing step180   2023-07-13 22:52:10.463553
QCY: testing step190   2023-07-13 22:52:10.742740
QCY: testing step200   2023-07-13 22:52:11.036981
QCY: testing step210   2023-07-13 22:52:11.413724
QCY: testing step220   2023-07-13 22:52:11.741731
QCY: testing step230   2023-07-13 22:52:12.074217
QCY: testing step240   2023-07-13 22:52:12.396616
QCY: testing step250   2023-07-13 22:52:12.735606
QCY: testing step260   2023-07-13 22:52:13.075802
QCY: testing step270   2023-07-13 22:52:13.501062
QCY: testing step280   2023-07-13 22:52:13.868214
QCY: testing step290   2023-07-13 22:52:14.234155
QCY: testing step300   2023-07-13 22:52:14.741684
QCY: testing step310   2023-07-13 22:52:15.287297
QCY: testing step320   2023-07-13 22:52:15.656532
QCY: testing step330   2023-07-13 22:52:16.033286
QCY: testing step340   2023-07-13 22:52:16.440455
QCY: testing step350   2023-07-13 22:52:16.847774
QCY: testing step360   2023-07-13 22:52:17.264194
QCY: testing step370   2023-07-13 22:52:17.680680
QCY: testing step380   2023-07-13 22:52:18.095503
QCY: testing step390   2023-07-13 22:52:18.546420
QCY: testing step400   2023-07-13 22:52:19.012975
QCY: testing step410   2023-07-13 22:52:19.619869
QCY: testing step420   2023-07-13 22:52:20.080093
QCY: testing step430   2023-07-13 22:52:20.542919
QCY: testing step440   2023-07-13 22:52:21.010767
QCY: testing step450   2023-07-13 22:52:21.480533
QCY: testing step460   2023-07-13 22:52:21.963162
QCY: testing step470   2023-07-13 22:52:22.452945
QCY: testing step480   2023-07-13 22:52:22.938945
QCY: testing step490   2023-07-13 22:52:23.435224
QCY: testing step500   2023-07-13 22:52:23.941646
QCY: testing step510   2023-07-13 22:52:24.437017
QCY: testing step520   2023-07-13 22:52:25.020011
QCY: testing step530   2023-07-13 22:52:25.510791
QCY: testing step540   2023-07-13 22:52:26.013318
QCY: testing step550   2023-07-13 22:52:26.544817
QCY: testing step560   2023-07-13 22:52:27.070084
QCY: testing step570   2023-07-13 22:52:27.614801
QCY: testing step580   2023-07-13 22:52:28.160234
QCY: testing step590   2023-07-13 22:52:28.688566
QCY: testing step600   2023-07-13 22:52:29.231129
QCY: testing step610   2023-07-13 22:52:29.892610
QCY: testing step620   2023-07-13 22:52:30.447181
QCY: testing step630   2023-07-13 22:52:31.010458
QCY: testing step640   2023-07-13 22:52:31.592435
QCY: testing step650   2023-07-13 22:52:32.219287
QCY: testing step660   2023-07-13 22:52:32.790811
QCY: testing step670   2023-07-13 22:52:33.417385
QCY: testing step680   2023-07-13 22:52:34.027899
QCY: testing step690   2023-07-13 22:52:34.629100
QCY: testing step700   2023-07-13 22:52:35.249199
QCY: testing step710   2023-07-13 22:52:35.855411
QCY: testing step720   2023-07-13 22:52:36.460027
QCY: testing step730   2023-07-13 22:52:37.094160
QCY: testing step740   2023-07-13 22:52:37.716196
QCY: testing step750   2023-07-13 22:52:38.341291
QCY: testing step760   2023-07-13 22:52:38.983317
QCY: testing step770   2023-07-13 22:52:39.638675
