nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-13 22:51:22.039122
QCY: testing step10   2023-07-13 22:51:22.209287
QCY: testing step20   2023-07-13 22:51:22.338241
QCY: testing step30   2023-07-13 22:51:22.554018
QCY: testing step40   2023-07-13 22:51:22.690973
QCY: testing step50   2023-07-13 22:51:22.838353
QCY: testing step60   2023-07-13 22:51:22.983379
QCY: testing step70   2023-07-13 22:51:23.136853
QCY: testing step80   2023-07-13 22:51:23.296098
QCY: testing step90   2023-07-13 22:51:23.463771
QCY: testing step100   2023-07-13 22:51:23.635137
QCY: testing step110   2023-07-13 22:51:23.808963
QCY: testing step120   2023-07-13 22:51:23.990116
QCY: testing step130   2023-07-13 22:51:24.185613
QCY: testing step140   2023-07-13 22:51:24.382622
QCY: testing step150   2023-07-13 22:51:24.590874
QCY: testing step160   2023-07-13 22:51:24.801718
QCY: testing step170   2023-07-13 22:51:25.019008
QCY: testing step180   2023-07-13 22:51:25.244800
QCY: testing step190   2023-07-13 22:51:25.476372
QCY: testing step200   2023-07-13 22:51:25.707405
QCY: testing step210   2023-07-13 22:51:26.014395
QCY: testing step220   2023-07-13 22:51:26.278511
QCY: testing step230   2023-07-13 22:51:26.542064
QCY: testing step240   2023-07-13 22:51:26.812450
QCY: testing step250   2023-07-13 22:51:27.101339
QCY: testing step260   2023-07-13 22:51:27.393789
QCY: testing step270   2023-07-13 22:51:27.682105
QCY: testing step280   2023-07-13 22:51:27.968305
QCY: testing step290   2023-07-13 22:51:28.256715
QCY: testing step300   2023-07-13 22:51:28.561436
QCY: testing step310   2023-07-13 22:51:28.869234
QCY: testing step320   2023-07-13 22:51:29.171663
QCY: testing step330   2023-07-13 22:51:29.565417
QCY: testing step340   2023-07-13 22:51:29.879744
QCY: testing step350   2023-07-13 22:51:30.201890
QCY: testing step360   2023-07-13 22:51:30.533739
QCY: testing step370   2023-07-13 22:51:30.870126
QCY: testing step380   2023-07-13 22:51:31.224912
QCY: testing step390   2023-07-13 22:51:31.588895
QCY: testing step400   2023-07-13 22:51:31.981559
QCY: testing step410   2023-07-13 22:51:32.417813
QCY: testing step420   2023-07-13 22:51:32.812199
QCY: testing step430   2023-07-13 22:51:33.215206
QCY: testing step440   2023-07-13 22:51:33.644078
QCY: testing step450   2023-07-13 22:51:34.052488
QCY: testing step460   2023-07-13 22:51:34.461588
QCY: testing step470   2023-07-13 22:51:34.880239
QCY: testing step480   2023-07-13 22:51:35.382220
QCY: testing step490   2023-07-13 22:51:35.805981
QCY: testing step500   2023-07-13 22:51:36.237049
QCY: testing step510   2023-07-13 22:51:36.675462
QCY: testing step520   2023-07-13 22:51:37.127154
QCY: testing step530   2023-07-13 22:51:37.564089
QCY: testing step540   2023-07-13 22:51:38.019913
QCY: testing step550   2023-07-13 22:51:38.452511
QCY: testing step560   2023-07-13 22:51:38.979312
QCY: testing step570   2023-07-13 22:51:39.497176
QCY: testing step580   2023-07-13 22:51:39.992961
QCY: testing step590   2023-07-13 22:51:40.463917
QCY: testing step600   2023-07-13 22:51:40.894440
QCY: testing step610   2023-07-13 22:51:41.416915
QCY: testing step620   2023-07-13 22:51:41.955260
QCY: testing step630   2023-07-13 22:51:42.452167
QCY: testing step640   2023-07-13 22:51:42.930403
QCY: testing step650   2023-07-13 22:51:43.399906
QCY: testing step660   2023-07-13 22:51:43.864318
QCY: testing step670   2023-07-13 22:51:44.386436
QCY: testing step680   2023-07-13 22:51:44.893655
QCY: testing step690   2023-07-13 22:51:45.385446
QCY: testing step700   2023-07-13 22:51:45.894376
QCY: testing step710   2023-07-13 22:51:46.387679
QCY: testing step720   2023-07-13 22:51:46.897651
QCY: testing step730   2023-07-13 22:51:47.404448
QCY: testing step740   2023-07-13 22:51:47.907628
QCY: testing step750   2023-07-13 22:51:48.431543
QCY: testing step760   2023-07-13 22:51:48.970405
QCY: testing step770   2023-07-13 22:51:49.513204
QCY: testing step780   2023-07-13 22:51:50.037977
QCY: testing step790   2023-07-13 22:51:50.567585
QCY: testing step800   2023-07-13 22:51:51.117314
QCY: testing step810   2023-07-13 22:51:51.724019
QCY: testing step820   2023-07-13 22:51:52.280902
QCY: testing step830   2023-07-13 22:51:52.825844
QCY: testing step840   2023-07-13 22:51:53.393262
QCY: testing step850   2023-07-13 22:51:53.945075
QCY: testing step860   2023-07-13 22:51:54.498141
QCY: testing step870   2023-07-13 22:51:55.050786
QCY: testing step880   2023-07-13 22:51:55.631221
QCY: testing step890   2023-07-13 22:51:56.208600
QCY: testing step900   2023-07-13 22:51:56.799499
QCY: testing step910   2023-07-13 22:51:57.388608
QCY: testing step920   2023-07-13 22:51:57.976008
QCY: testing step930   2023-07-13 22:51:58.571859
QCY: testing step940   2023-07-13 22:51:59.214829
QCY: testing step950   2023-07-13 22:51:59.901781
QCY: testing step960   2023-07-13 22:52:00.580710
QCY: testing step970   2023-07-13 22:52:01.263735
QCY: testing step980   2023-07-13 22:52:01.955068
QCY: testing step990   2023-07-13 22:52:02.714628
QCY: testing step1000   2023-07-13 22:52:03.531664
QCY: testing step1010   2023-07-13 22:52:04.302547
QCY: testing step1020   2023-07-13 22:52:04.999057
QCY: testing step1030   2023-07-13 22:52:05.713237
QCY: testing step1040   2023-07-13 22:52:06.457758
QCY: testing step1050   2023-07-13 22:52:07.181589
QCY: testing step1060   2023-07-13 22:52:07.995462
QCY: testing step1070   2023-07-13 22:52:08.703243
QCY: testing step1080   2023-07-13 22:52:09.438912
QCY: testing step1090   2023-07-13 22:52:10.162470
QCY: testing step1100   2023-07-13 22:52:10.896924
QCY: testing step1110   2023-07-13 22:52:11.647997
QCY: testing step1120   2023-07-13 22:52:12.385536
QCY: testing step1130   2023-07-13 22:52:13.118953
QCY: testing step1140   2023-07-13 22:52:13.923473
QCY: testing step1150   2023-07-13 22:52:14.714186
QCY: testing step1160   2023-07-13 22:52:15.495002
QCY: testing step1170   2023-07-13 22:52:16.288713
QCY: testing step1180   2023-07-13 22:52:17.086541
QCY: testing step1190   2023-07-13 22:52:17.883583
QCY: testing step1200   2023-07-13 22:52:18.657663
QCY: testing step1210   2023-07-13 22:52:19.569994
QCY: testing step1220   2023-07-13 22:52:20.367946
QCY: testing step1230   2023-07-13 22:52:21.140722
QCY: testing step1240   2023-07-13 22:52:21.993307
QCY: testing step1250   2023-07-13 22:52:22.815765
QCY: testing step1260   2023-07-13 22:52:23.610611
QCY: testing step1270   2023-07-13 22:52:24.420096
QCY: testing step1280   2023-07-13 22:52:25.322025
QCY: testing step1290   2023-07-13 22:52:26.168857
QCY: testing step1300   2023-07-13 22:52:27.023384
QCY: testing step1310   2023-07-13 22:52:27.892502
QCY: testing step1320   2023-07-13 22:52:28.784711
QCY: testing step1330   2023-07-13 22:52:29.629225
QCY: testing step1340   2023-07-13 22:52:30.477744
QCY: testing step1350   2023-07-13 22:52:31.353854
QCY: testing step1360   2023-07-13 22:52:32.194763
QCY: testing step1370   2023-07-13 22:52:33.045147
QCY: testing step1380   2023-07-13 22:52:33.906684
QCY: testing step1390   2023-07-13 22:52:34.756712
QCY: testing step1400   2023-07-13 22:52:35.629719
QCY: testing step1410   2023-07-13 22:52:36.546118
QCY: testing step1420   2023-07-13 22:52:37.430575
QCY: testing step1430   2023-07-13 22:52:38.333482
QCY: testing step1440   2023-07-13 22:52:39.236384
QCY: testing step1450   2023-07-13 22:52:40.137217
QCY: testing step1460   2023-07-13 22:52:41.063670
QCY: testing step1470   2023-07-13 22:52:41.997120
QCY: testing step1480   2023-07-13 22:52:42.945062
QCY: testing step1490   2023-07-13 22:52:43.942609
QCY: testing step1500   2023-07-13 22:52:44.858257
QCY: testing step1510   2023-07-13 22:52:45.780221
QCY: testing step1520   2023-07-13 22:52:46.705666
QCY: testing step1530   2023-07-13 22:52:47.630556
QCY: testing step1540   2023-07-13 22:52:48.574539
QCY: testing step1550   2023-07-13 22:52:49.528513
QCY: testing step1560   2023-07-13 22:52:50.474702
QCY: testing step1570   2023-07-13 22:52:51.442093
QCY: testing step1580   2023-07-13 22:52:52.422358
QCY: testing step1590   2023-07-13 22:52:53.395478
QCY: testing step1600   2023-07-13 22:52:54.358532
QCY: testing step1610   2023-07-13 22:52:55.404937
QCY: testing step1620   2023-07-13 22:52:56.391262
QCY: testing step1630   2023-07-13 22:52:57.385052
QCY: testing step1640   2023-07-13 22:52:58.391515
QCY: testing step1650   2023-07-13 22:52:59.389359
QCY: testing step1660   2023-07-13 22:53:00.407627
QCY: testing step1670   2023-07-13 22:53:01.391366
QCY: testing step1680   2023-07-13 22:53:02.375552
QCY: testing step1690   2023-07-13 22:53:03.427415
QCY: testing step1700   2023-07-13 22:53:04.462478
QCY: testing step1710   2023-07-13 22:53:05.503103
QCY: testing step1720   2023-07-13 22:53:06.519209
QCY: testing step1730   2023-07-13 22:53:07.565641
QCY: testing step1740   2023-07-13 22:53:08.611423
QCY: testing step1750   2023-07-13 22:53:09.686504
QCY: testing step1760   2023-07-13 22:53:10.786830
QCY: testing step1770   2023-07-13 22:53:11.876762
QCY: testing step1780   2023-07-13 22:53:12.975519
QCY: testing step1790   2023-07-13 22:53:14.122091
QCY: testing step1800   2023-07-13 22:53:15.234576
QCY: testing step1810   2023-07-13 22:53:16.425341
QCY: testing step1820   2023-07-13 22:53:17.557009
QCY: testing step1830   2023-07-13 22:53:18.677038
QCY: testing step1840   2023-07-13 22:53:19.827520
QCY: testing step1850   2023-07-13 22:53:20.972042
QCY: testing step1860   2023-07-13 22:53:22.126170
QCY: testing step1870   2023-07-13 22:53:23.320700
QCY: testing step1880   2023-07-13 22:53:24.484620
QCY: testing step1890   2023-07-13 22:53:25.663391
QCY: testing step1900   2023-07-13 22:53:26.818840
QCY: testing step1910   2023-07-13 22:53:28.018191
QCY: testing step1920   2023-07-13 22:53:29.216774
QCY: testing step1930   2023-07-13 22:53:30.385156
QCY: testing step1940   2023-07-13 22:53:31.547971
QCY: testing step1950   2023-07-13 22:53:32.709147
QCY: testing step1960   2023-07-13 22:53:33.926202
QCY: testing step1970   2023-07-13 22:53:35.155171
QCY: testing step1980   2023-07-13 22:53:36.564882
QCY: testing step1990   2023-07-13 22:53:37.816351
QCY: testing step2000   2023-07-13 22:53:39.062616
QCY: testing step2010   2023-07-13 22:53:40.423103
QCY: testing step2020   2023-07-13 22:53:41.747485
QCY: testing step2030   2023-07-13 22:53:43.136606
QCY: testing step2040   2023-07-13 22:53:44.495977
QCY: testing step2050   2023-07-13 22:53:45.888712
QCY: testing step2060   2023-07-13 22:53:47.243835
QCY: testing step2070   2023-07-13 22:53:48.595803
QCY: testing step2080   2023-07-13 22:53:49.947287
QCY: testing step2090   2023-07-13 22:53:51.328978
QCY: testing step2100   2023-07-13 22:53:52.685020
QCY: testing step2110   2023-07-13 22:53:54.060840
QCY: testing step2120   2023-07-13 22:53:55.441183
QCY: testing step2130   2023-07-13 22:53:56.824840
QCY: testing step2140   2023-07-13 22:53:58.179582
QCY: testing step2150   2023-07-13 22:53:59.614286
QCY: testing step2160   2023-07-13 22:54:00.991995
QCY: testing step2170   2023-07-13 22:54:02.375511
QCY: testing step2180   2023-07-13 22:54:03.794997
QCY: testing step2190   2023-07-13 22:54:05.212888
QCY: testing step2200   2023-07-13 22:54:06.658774
QCY: testing step2210   2023-07-13 22:54:08.144596
QCY: testing step2220   2023-07-13 22:54:09.533029
QCY: testing step2230   2023-07-13 22:54:10.954623
QCY: testing step2240   2023-07-13 22:54:12.452033
QCY: testing step2250   2023-07-13 22:54:13.876336
QCY: testing step2260   2023-07-13 22:54:15.283800
QCY: testing step2270   2023-07-13 22:54:16.742039
QCY: testing step2280   2023-07-13 22:54:18.175868
QCY: testing step2290   2023-07-13 22:54:19.659667
QCY: testing step2300   2023-07-13 22:54:21.123575
QCY: testing step2310   2023-07-13 22:54:22.578075
QCY: testing step2320   2023-07-13 22:54:24.030062
QCY: testing step2330   2023-07-13 22:54:25.462042
QCY: testing step2340   2023-07-13 22:54:26.902219
QCY: testing step2350   2023-07-13 22:54:28.388560
QCY: testing step2360   2023-07-13 22:54:29.845461
QCY: testing step2370   2023-07-13 22:54:31.313611
QCY: testing step2380   2023-07-13 22:54:32.814812
QCY: testing step2390   2023-07-13 22:54:34.334113
QCY: testing step2400   2023-07-13 22:54:35.863517
QCY: testing step2410   2023-07-13 22:54:37.457344
QCY: testing step2420   2023-07-13 22:54:39.037144
QCY: testing step2430   2023-07-13 22:54:40.613108
QCY: testing step2440   2023-07-13 22:54:42.197405
QCY: testing step2450   2023-07-13 22:54:43.808565
QCY: testing step2460   2023-07-13 22:54:45.407030
QCY: testing step2470   2023-07-13 22:54:46.968579
QCY: testing step2480   2023-07-13 22:54:48.502561
QCY: testing step2490   2023-07-13 22:54:50.045064
QCY: testing step2500   2023-07-13 22:54:51.649573
QCY: testing step2510   2023-07-13 22:54:53.564849
QCY: testing step2520   2023-07-13 22:54:55.158803
QCY: testing step2530   2023-07-13 22:54:56.850357
QCY: testing step2540   2023-07-13 22:54:58.556315
QCY: testing step2550   2023-07-13 22:55:00.268726
QCY: testing step2560   2023-07-13 22:55:01.972991
QCY: testing step2570   2023-07-13 22:55:03.655428
QCY: testing step2580   2023-07-13 22:55:05.296627
QCY: testing step2590   2023-07-13 22:55:06.941593
QCY: testing step2600   2023-07-13 22:55:08.622662
QCY: testing step2610   2023-07-13 22:55:10.370574
QCY: testing step2620   2023-07-13 22:55:12.035331
QCY: testing step2630   2023-07-13 22:55:13.753013
QCY: testing step2640   2023-07-13 22:55:15.466405
QCY: testing step2650   2023-07-13 22:55:17.175710
QCY: testing step2660   2023-07-13 22:55:18.912134
QCY: testing step2670   2023-07-13 22:55:20.619800
QCY: testing step2680   2023-07-13 22:55:22.354183
QCY: testing step2690   2023-07-13 22:55:24.149685
QCY: testing step2700   2023-07-13 22:55:25.920207
QCY: testing step2710   2023-07-13 22:55:27.682482
QCY: testing step2720   2023-07-13 22:55:29.441336
QCY: testing step2730   2023-07-13 22:55:31.197241
QCY: testing step2740   2023-07-13 22:55:32.911154
QCY: testing step2750   2023-07-13 22:55:34.600576
QCY: testing step2760   2023-07-13 22:55:36.317156
QCY: testing step2770   2023-07-13 22:55:38.085405
QCY: testing step2780   2023-07-13 22:55:39.882122
QCY: testing step2790   2023-07-13 22:55:41.744903
QCY: testing step2800   2023-07-13 22:55:43.512410
QCY: testing step2810   2023-07-13 22:55:45.465819
QCY: testing step2820   2023-07-13 22:55:47.307191
QCY: testing step2830   2023-07-13 22:55:49.159300
QCY: testing step2840   2023-07-13 22:55:51.029519
QCY: testing step2850   2023-07-13 22:55:52.912394
QCY: testing step2860   2023-07-13 22:55:54.780583
QCY: testing step2870   2023-07-13 22:55:56.654403
QCY: testing step2880   2023-07-13 22:55:58.521533
QCY: testing step2890   2023-07-13 22:56:00.410971
QCY: testing step2900   2023-07-13 22:56:02.357741
QCY: testing step2910   2023-07-13 22:56:04.289534
QCY: testing step2920   2023-07-13 22:56:06.214499
QCY: testing step2930   2023-07-13 22:56:08.149739
QCY: testing step2940   2023-07-13 22:56:10.103461
QCY: testing step2950   2023-07-13 22:56:12.032706
QCY: testing step2960   2023-07-13 22:56:13.997305
QCY: testing step2970   2023-07-13 22:56:15.974553
QCY: testing step2980   2023-07-13 22:56:17.974989
QCY: testing step2990   2023-07-13 22:56:19.999001
QCY: testing step3000   2023-07-13 22:56:22.036652
QCY: testing step3010   2023-07-13 22:56:24.099006
QCY: testing step3020   2023-07-13 22:56:26.077289
QCY: testing step3030   2023-07-13 22:56:28.111048
QCY: testing step3040   2023-07-13 22:56:30.199933
QCY: testing step3050   2023-07-13 22:56:32.303459
QCY: testing step3060   2023-07-13 22:56:34.430557
QCY: testing step3070   2023-07-13 22:56:36.513366
QCY: testing step3080   2023-07-13 22:56:38.696982
QCY: testing step3090   2023-07-13 22:56:40.822606
QCY: testing step3100   2023-07-13 22:56:42.917508
QCY: testing step3110   2023-07-13 22:56:45.090602
QCY: testing step3120   2023-07-13 22:56:47.332553
QCY: testing step3130   2023-07-13 22:56:49.477860
QCY: testing step3140   2023-07-13 22:56:51.619233
QCY: testing step3150   2023-07-13 22:56:53.752245
QCY: testing step3160   2023-07-13 22:56:55.910726
QCY: testing step3170   2023-07-13 22:56:58.121431
QCY: testing step3180   2023-07-13 22:57:00.301353
QCY: testing step3190   2023-07-13 22:57:02.489930
QCY: testing step3200   2023-07-13 22:57:04.680788
QCY: testing step3210   2023-07-13 22:57:06.959890
QCY: testing step3220   2023-07-13 22:57:09.213751
QCY: testing step3230   2023-07-13 22:57:11.515147
QCY: testing step3240   2023-07-13 22:57:13.814456
QCY: testing step3250   2023-07-13 22:57:16.114464
QCY: testing step3260   2023-07-13 22:57:18.447484
QCY: testing step3270   2023-07-13 22:57:20.762599
QCY: testing step3280   2023-07-13 22:57:22.999839
QCY: testing step3290   2023-07-13 22:57:25.187957
QCY: testing step3300   2023-07-13 22:57:27.371288
QCY: testing step3310   2023-07-13 22:57:29.621524
QCY: testing step3320   2023-07-13 22:57:31.946265
QCY: testing step3330   2023-07-13 22:57:34.239245
QCY: testing step3340   2023-07-13 22:57:36.547930
QCY: testing step3350   2023-07-13 22:57:38.897311
QCY: testing step3360   2023-07-13 22:57:41.236533
QCY: testing step3370   2023-07-13 22:57:43.574417
QCY: testing step3380   2023-07-13 22:57:45.934796
QCY: testing step3390   2023-07-13 22:57:48.286634
QCY: testing step3400   2023-07-13 22:57:50.630472
QCY: testing step3410   2023-07-13 22:57:53.121834
QCY: testing step3420   2023-07-13 22:57:55.481328
QCY: testing step3430   2023-07-13 22:57:57.824833
QCY: testing step3440   2023-07-13 22:58:00.221658
QCY: testing step3450   2023-07-13 22:58:02.671511
QCY: testing step3460   2023-07-13 22:58:05.124156
QCY: testing step3470   2023-07-13 22:58:07.513063
QCY: testing step3480   2023-07-13 22:58:09.943701
QCY: testing step3490   2023-07-13 22:58:12.358335
QCY: testing step3500   2023-07-13 22:58:14.840737
QCY: testing step3510   2023-07-13 22:58:17.263216
QCY: testing step3520   2023-07-13 22:58:19.722238
QCY: testing step3530   2023-07-13 22:58:22.202544
QCY: testing step3540   2023-07-13 22:58:24.668125
QCY: testing step3550   2023-07-13 22:58:27.088933
QCY: testing step3560   2023-07-13 22:58:29.478147
QCY: testing step3570   2023-07-13 22:58:31.841006
QCY: testing step3580   2023-07-13 22:58:34.276339
QCY: testing step3590   2023-07-13 22:58:36.877580
2023-07-13 22:58:39 (INFO): Final Travel Time is 622.9045, mean rewards: -2493.6247, queue: 47.8552, delay: 5.2736, throughput: 4700
2023-07-13 22:58:39 (INFO): Total time taken: 438.01466608047485
