nohup: ignoring input
QCY: cuda is not available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: SOTL Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  sotl
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: -1
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-13 22:51:26.513917
QCY: testing step10   2023-07-13 22:51:26.674194
QCY: testing step20   2023-07-13 22:51:26.800363
QCY: testing step30   2023-07-13 22:51:26.947742
QCY: testing step40   2023-07-13 22:51:27.100519
QCY: testing step50   2023-07-13 22:51:27.258206
QCY: testing step60   2023-07-13 22:51:27.421529
QCY: testing step70   2023-07-13 22:51:27.591585
QCY: testing step80   2023-07-13 22:51:27.772210
QCY: testing step90   2023-07-13 22:51:27.951255
QCY: testing step100   2023-07-13 22:51:28.138073
QCY: testing step110   2023-07-13 22:51:28.333618
QCY: testing step120   2023-07-13 22:51:28.523514
QCY: testing step130   2023-07-13 22:51:28.745584
QCY: testing step140   2023-07-13 22:51:28.970587
QCY: testing step150   2023-07-13 22:51:29.191786
QCY: testing step160   2023-07-13 22:51:29.500488
QCY: testing step170   2023-07-13 22:51:29.729246
QCY: testing step180   2023-07-13 22:51:29.965223
QCY: testing step190   2023-07-13 22:51:30.206402
QCY: testing step200   2023-07-13 22:51:30.459714
QCY: testing step210   2023-07-13 22:51:30.777049
QCY: testing step220   2023-07-13 22:51:31.040512
QCY: testing step230   2023-07-13 22:51:31.308148
QCY: testing step240   2023-07-13 22:51:31.601307
QCY: testing step250   2023-07-13 22:51:31.911082
QCY: testing step260   2023-07-13 22:51:32.202469
QCY: testing step270   2023-07-13 22:51:32.483681
QCY: testing step280   2023-07-13 22:51:32.817186
QCY: testing step290   2023-07-13 22:51:33.169156
QCY: testing step300   2023-07-13 22:51:33.513452
QCY: testing step310   2023-07-13 22:51:33.850037
QCY: testing step320   2023-07-13 22:51:34.203908
QCY: testing step330   2023-07-13 22:51:34.547127
QCY: testing step340   2023-07-13 22:51:34.901393
QCY: testing step350   2023-07-13 22:51:35.321307
QCY: testing step360   2023-07-13 22:51:35.665398
QCY: testing step370   2023-07-13 22:51:36.006205
QCY: testing step380   2023-07-13 22:51:36.342682
QCY: testing step390   2023-07-13 22:51:36.678432
QCY: testing step400   2023-07-13 22:51:37.028047
QCY: testing step410   2023-07-13 22:51:37.432134
QCY: testing step420   2023-07-13 22:51:37.813980
QCY: testing step430   2023-07-13 22:51:38.186999
QCY: testing step440   2023-07-13 22:51:38.585069
QCY: testing step450   2023-07-13 22:51:38.983302
QCY: testing step460   2023-07-13 22:51:39.358508
QCY: testing step470   2023-07-13 22:51:39.797474
QCY: testing step480   2023-07-13 22:51:40.262012
QCY: testing step490   2023-07-13 22:51:40.743045
QCY: testing step500   2023-07-13 22:51:41.211449
QCY: testing step510   2023-07-13 22:51:41.764339
QCY: testing step520   2023-07-13 22:51:42.223589
QCY: testing step530   2023-07-13 22:51:42.701859
QCY: testing step540   2023-07-13 22:51:43.179181
QCY: testing step550   2023-07-13 22:51:43.679130
QCY: testing step560   2023-07-13 22:51:44.174668
QCY: testing step570   2023-07-13 22:51:44.680955
QCY: testing step580   2023-07-13 22:51:45.151490
QCY: testing step590   2023-07-13 22:51:45.656937
QCY: testing step600   2023-07-13 22:51:46.174118
QCY: testing step610   2023-07-13 22:51:46.766977
QCY: testing step620   2023-07-13 22:51:47.293545
QCY: testing step630   2023-07-13 22:51:47.782878
QCY: testing step640   2023-07-13 22:51:48.286264
QCY: testing step650   2023-07-13 22:51:48.790503
QCY: testing step660   2023-07-13 22:51:49.307177
QCY: testing step670   2023-07-13 22:51:49.828926
QCY: testing step680   2023-07-13 22:51:50.362669
QCY: testing step690   2023-07-13 22:51:50.897876
QCY: testing step700   2023-07-13 22:51:51.442566
QCY: testing step710   2023-07-13 22:51:52.003200
QCY: testing step720   2023-07-13 22:51:52.557378
QCY: testing step730   2023-07-13 22:51:53.113028
QCY: testing step740   2023-07-13 22:51:53.672808
QCY: testing step750   2023-07-13 22:51:54.238129
QCY: testing step760   2023-07-13 22:51:54.808376
QCY: testing step770   2023-07-13 22:51:55.382473
QCY: testing step780   2023-07-13 22:51:55.962386
QCY: testing step790   2023-07-13 22:51:56.538866
QCY: testing step800   2023-07-13 22:51:57.136773
QCY: testing step810   2023-07-13 22:51:57.797821
QCY: testing step820   2023-07-13 22:51:58.396216
QCY: testing step830   2023-07-13 22:51:59.004425
QCY: testing step840   2023-07-13 22:51:59.614144
QCY: testing step850   2023-07-13 22:52:00.248678
QCY: testing step860   2023-07-13 22:52:00.914102
QCY: testing step870   2023-07-13 22:52:01.569089
QCY: testing step880   2023-07-13 22:52:02.412025
QCY: testing step890   2023-07-13 22:52:03.069522
QCY: testing step900   2023-07-13 22:52:03.699781
QCY: testing step910   2023-07-13 22:52:04.336673
QCY: testing step920   2023-07-13 22:52:05.001450
QCY: testing step930   2023-07-13 22:52:05.686205
QCY: testing step940   2023-07-13 22:52:06.400677
QCY: testing step950   2023-07-13 22:52:07.106676
QCY: testing step960   2023-07-13 22:52:07.903996
QCY: testing step970   2023-07-13 22:52:08.595511
QCY: testing step980   2023-07-13 22:52:09.299403
QCY: testing step990   2023-07-13 22:52:10.005217
QCY: testing step1000   2023-07-13 22:52:10.791399
QCY: testing step1010   2023-07-13 22:52:11.615912
QCY: testing step1020   2023-07-13 22:52:12.349350
QCY: testing step1030   2023-07-13 22:52:13.094082
QCY: testing step1040   2023-07-13 22:52:13.915726
QCY: testing step1050   2023-07-13 22:52:14.674524
QCY: testing step1060   2023-07-13 22:52:15.514874
QCY: testing step1070   2023-07-13 22:52:16.374393
QCY: testing step1080   2023-07-13 22:52:17.171846
QCY: testing step1090   2023-07-13 22:52:17.959497
QCY: testing step1100   2023-07-13 22:52:18.745968
QCY: testing step1110   2023-07-13 22:52:19.612184
QCY: testing step1120   2023-07-13 22:52:20.408615
QCY: testing step1130   2023-07-13 22:52:21.233137
QCY: testing step1140   2023-07-13 22:52:22.213044
QCY: testing step1150   2023-07-13 22:52:23.112598
QCY: testing step1160   2023-07-13 22:52:23.946073
QCY: testing step1170   2023-07-13 22:52:25.014569
QCY: testing step1180   2023-07-13 22:52:25.882787
QCY: testing step1190   2023-07-13 22:52:26.762298
QCY: testing step1200   2023-07-13 22:52:27.634885
QCY: testing step1210   2023-07-13 22:52:28.710200
QCY: testing step1220   2023-07-13 22:52:29.636227
QCY: testing step1230   2023-07-13 22:52:30.529508
QCY: testing step1240   2023-07-13 22:52:31.432721
QCY: testing step1250   2023-07-13 22:52:32.349938
QCY: testing step1260   2023-07-13 22:52:33.247150
QCY: testing step1270   2023-07-13 22:52:34.191663
QCY: testing step1280   2023-07-13 22:52:35.228065
QCY: testing step1290   2023-07-13 22:52:36.156193
QCY: testing step1300   2023-07-13 22:52:37.133834
QCY: testing step1310   2023-07-13 22:52:38.105189
QCY: testing step1320   2023-07-13 22:52:39.059306
QCY: testing step1330   2023-07-13 22:52:40.045151
QCY: testing step1340   2023-07-13 22:52:41.020878
QCY: testing step1350   2023-07-13 22:52:41.994940
QCY: testing step1360   2023-07-13 22:52:43.023968
QCY: testing step1370   2023-07-13 22:52:43.996187
QCY: testing step1380   2023-07-13 22:52:44.969976
QCY: testing step1390   2023-07-13 22:52:45.980109
QCY: testing step1400   2023-07-13 22:52:47.004967
QCY: testing step1410   2023-07-13 22:52:48.076711
QCY: testing step1420   2023-07-13 22:52:49.057530
QCY: testing step1430   2023-07-13 22:52:50.040480
QCY: testing step1440   2023-07-13 22:52:51.068410
QCY: testing step1450   2023-07-13 22:52:52.139077
QCY: testing step1460   2023-07-13 22:52:53.193990
QCY: testing step1470   2023-07-13 22:52:54.250547
QCY: testing step1480   2023-07-13 22:52:55.267273
QCY: testing step1490   2023-07-13 22:52:56.335787
QCY: testing step1500   2023-07-13 22:52:57.437027
QCY: testing step1510   2023-07-13 22:52:58.513472
QCY: testing step1520   2023-07-13 22:52:59.603503
QCY: testing step1530   2023-07-13 22:53:00.685490
QCY: testing step1540   2023-07-13 22:53:01.770246
QCY: testing step1550   2023-07-13 22:53:02.842423
QCY: testing step1560   2023-07-13 22:53:03.914946
QCY: testing step1570   2023-07-13 22:53:04.992442
QCY: testing step1580   2023-07-13 22:53:06.077162
QCY: testing step1590   2023-07-13 22:53:07.151581
QCY: testing step1600   2023-07-13 22:53:08.244943
QCY: testing step1610   2023-07-13 22:53:09.495054
QCY: testing step1620   2023-07-13 22:53:10.622283
QCY: testing step1630   2023-07-13 22:53:11.709604
QCY: testing step1640   2023-07-13 22:53:12.801587
QCY: testing step1650   2023-07-13 22:53:13.928647
QCY: testing step1660   2023-07-13 22:53:15.087217
QCY: testing step1670   2023-07-13 22:53:16.249034
QCY: testing step1680   2023-07-13 22:53:17.421988
QCY: testing step1690   2023-07-13 22:53:18.550931
QCY: testing step1700   2023-07-13 22:53:19.680166
QCY: testing step1710   2023-07-13 22:53:20.837434
QCY: testing step1720   2023-07-13 22:53:21.966159
QCY: testing step1730   2023-07-13 22:53:23.095077
QCY: testing step1740   2023-07-13 22:53:24.247848
QCY: testing step1750   2023-07-13 22:53:25.400605
