nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: Maxpressure Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  maxpressure
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-05 09:18:35.079911
QCY: testing step10   2023-07-05 09:18:35.242125
QCY: testing step20   2023-07-05 09:18:35.375354
QCY: testing step30   2023-07-05 09:18:35.508773
QCY: testing step40   2023-07-05 09:18:35.646375
QCY: testing step50   2023-07-05 09:18:35.786478
QCY: testing step60   2023-07-05 09:18:35.929873
QCY: testing step70   2023-07-05 09:18:36.086617
QCY: testing step80   2023-07-05 09:18:36.242988
QCY: testing step90   2023-07-05 09:18:36.416385
QCY: testing step100   2023-07-05 09:18:36.595612
QCY: testing step110   2023-07-05 09:18:36.770246
QCY: testing step120   2023-07-05 09:18:36.947963
QCY: testing step130   2023-07-05 09:18:37.129166
QCY: testing step140   2023-07-05 09:18:37.326267
QCY: testing step150   2023-07-05 09:18:37.529246
QCY: testing step160   2023-07-05 09:18:37.753497
QCY: testing step170   2023-07-05 09:18:37.955096
QCY: testing step180   2023-07-05 09:18:38.157578
QCY: testing step190   2023-07-05 09:18:38.362311
QCY: testing step200   2023-07-05 09:18:38.582844
QCY: testing step210   2023-07-05 09:18:38.845209
QCY: testing step220   2023-07-05 09:18:39.055103
QCY: testing step230   2023-07-05 09:18:39.280138
QCY: testing step240   2023-07-05 09:18:39.515778
QCY: testing step250   2023-07-05 09:18:39.803485
QCY: testing step260   2023-07-05 09:18:40.054640
QCY: testing step270   2023-07-05 09:18:40.301294
QCY: testing step280   2023-07-05 09:18:40.549876
QCY: testing step290   2023-07-05 09:18:40.806275
QCY: testing step300   2023-07-05 09:18:41.057318
QCY: testing step310   2023-07-05 09:18:41.302151
QCY: testing step320   2023-07-05 09:18:41.547651
QCY: testing step330   2023-07-05 09:18:41.794167
QCY: testing step340   2023-07-05 09:18:42.056450
QCY: testing step350   2023-07-05 09:18:42.311775
QCY: testing step360   2023-07-05 09:18:42.554923
QCY: testing step370   2023-07-05 09:18:42.805333
QCY: testing step380   2023-07-05 09:18:43.061139
QCY: testing step390   2023-07-05 09:18:43.313345
QCY: testing step400   2023-07-05 09:18:43.578432
QCY: testing step410   2023-07-05 09:18:43.898929
QCY: testing step420   2023-07-05 09:18:44.158373
QCY: testing step430   2023-07-05 09:18:44.422021
QCY: testing step440   2023-07-05 09:18:44.699909
QCY: testing step450   2023-07-05 09:18:44.969222
QCY: testing step460   2023-07-05 09:18:45.250184
QCY: testing step470   2023-07-05 09:18:45.523701
QCY: testing step480   2023-07-05 09:18:45.795657
QCY: testing step490   2023-07-05 09:18:46.083752
QCY: testing step500   2023-07-05 09:18:46.386105
QCY: testing step510   2023-07-05 09:18:46.677318
QCY: testing step520   2023-07-05 09:18:46.972919
QCY: testing step530   2023-07-05 09:18:47.316199
QCY: testing step540   2023-07-05 09:18:47.659022
QCY: testing step550   2023-07-05 09:18:47.992272
QCY: testing step560   2023-07-05 09:18:48.341198
QCY: testing step570   2023-07-05 09:18:48.701788
QCY: testing step580   2023-07-05 09:18:49.056833
QCY: testing step590   2023-07-05 09:18:49.409172
QCY: testing step600   2023-07-05 09:18:49.752886
QCY: testing step610   2023-07-05 09:18:50.168351
QCY: testing step620   2023-07-05 09:18:50.596553
QCY: testing step630   2023-07-05 09:18:50.941868
