nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: FixedTime Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  fixedtime
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-02 23:42:26.745608
QCY: testing step10   2023-07-02 23:42:26.945797
QCY: testing step20   2023-07-02 23:42:27.083954
QCY: testing step30   2023-07-02 23:42:27.244174
QCY: testing step40   2023-07-02 23:42:27.407138
QCY: testing step50   2023-07-02 23:42:27.572263
QCY: testing step60   2023-07-02 23:42:27.746521
QCY: testing step70   2023-07-02 23:42:27.926568
QCY: testing step80   2023-07-02 23:42:28.110308
QCY: testing step90   2023-07-02 23:42:28.297501
QCY: testing step100   2023-07-02 23:42:28.473753
QCY: testing step110   2023-07-02 23:42:28.652653
QCY: testing step120   2023-07-02 23:42:28.835284
QCY: testing step130   2023-07-02 23:42:29.028071
QCY: testing step140   2023-07-02 23:42:29.219397
QCY: testing step150   2023-07-02 23:42:29.427753
QCY: testing step160   2023-07-02 23:42:29.742245
QCY: testing step170   2023-07-02 23:42:29.960190
QCY: testing step180   2023-07-02 23:42:30.174551
QCY: testing step190   2023-07-02 23:42:30.406917
QCY: testing step200   2023-07-02 23:42:30.627372
QCY: testing step210   2023-07-02 23:42:30.938475
QCY: testing step220   2023-07-02 23:42:31.171601
QCY: testing step230   2023-07-02 23:42:31.406741
QCY: testing step240   2023-07-02 23:42:31.660596
QCY: testing step250   2023-07-02 23:42:31.911721
QCY: testing step260   2023-07-02 23:42:32.168617
QCY: testing step270   2023-07-02 23:42:32.424772
QCY: testing step280   2023-07-02 23:42:32.686095
QCY: testing step290   2023-07-02 23:42:32.948347
QCY: testing step300   2023-07-02 23:42:33.216951
QCY: testing step310   2023-07-02 23:42:33.493736
QCY: testing step320   2023-07-02 23:42:33.775981
QCY: testing step330   2023-07-02 23:42:34.066301
QCY: testing step340   2023-07-02 23:42:34.363313
QCY: testing step350   2023-07-02 23:42:34.652247
QCY: testing step360   2023-07-02 23:42:34.950171
QCY: testing step370   2023-07-02 23:42:35.259069
QCY: testing step380   2023-07-02 23:42:35.570064
QCY: testing step390   2023-07-02 23:42:35.925086
QCY: testing step400   2023-07-02 23:42:36.305198
QCY: testing step410   2023-07-02 23:42:36.784129
QCY: testing step420   2023-07-02 23:42:37.157413
QCY: testing step430   2023-07-02 23:42:37.527874
QCY: testing step440   2023-07-02 23:42:37.897443
QCY: testing step450   2023-07-02 23:42:38.364909
QCY: testing step460   2023-07-02 23:42:38.730782
QCY: testing step470   2023-07-02 23:42:39.096012
QCY: testing step480   2023-07-02 23:42:39.472292
QCY: testing step490   2023-07-02 23:42:39.850832
QCY: testing step500   2023-07-02 23:42:40.228267
QCY: testing step510   2023-07-02 23:42:40.625524
QCY: testing step520   2023-07-02 23:42:41.011962
QCY: testing step530   2023-07-02 23:42:41.381362
QCY: testing step540   2023-07-02 23:42:41.779440
QCY: testing step550   2023-07-02 23:42:42.173195
QCY: testing step560   2023-07-02 23:42:42.553240
QCY: testing step570   2023-07-02 23:42:42.972528
QCY: testing step580   2023-07-02 23:42:43.348374
QCY: testing step590   2023-07-02 23:42:43.728156
QCY: testing step600   2023-07-02 23:42:44.115582
QCY: testing step610   2023-07-02 23:42:44.608911
QCY: testing step620   2023-07-02 23:42:45.014101
QCY: testing step630   2023-07-02 23:42:45.415526
QCY: testing step640   2023-07-02 23:42:45.824602
QCY: testing step650   2023-07-02 23:42:46.230748
QCY: testing step660   2023-07-02 23:42:46.637458
QCY: testing step670   2023-07-02 23:42:47.069066
QCY: testing step680   2023-07-02 23:42:47.493902
QCY: testing step690   2023-07-02 23:42:47.912905
QCY: testing step700   2023-07-02 23:42:48.341547
QCY: testing step710   2023-07-02 23:42:48.756268
QCY: testing step720   2023-07-02 23:42:49.169906
QCY: testing step730   2023-07-02 23:42:49.619051
QCY: testing step740   2023-07-02 23:42:50.036625
QCY: testing step750   2023-07-02 23:42:50.459689
QCY: testing step760   2023-07-02 23:42:50.884691
QCY: testing step770   2023-07-02 23:42:51.306962
QCY: testing step780   2023-07-02 23:42:51.752076
QCY: testing step790   2023-07-02 23:42:52.184401
QCY: testing step800   2023-07-02 23:42:52.621689
QCY: testing step810   2023-07-02 23:42:53.156276
QCY: testing step820   2023-07-02 23:42:53.595985
QCY: testing step830   2023-07-02 23:42:54.054039
QCY: testing step840   2023-07-02 23:42:54.500296
QCY: testing step850   2023-07-02 23:42:54.942639
QCY: testing step860   2023-07-02 23:42:55.397238
QCY: testing step870   2023-07-02 23:42:55.842006
QCY: testing step880   2023-07-02 23:42:56.317599
QCY: testing step890   2023-07-02 23:42:56.786258
QCY: testing step900   2023-07-02 23:42:57.250640
QCY: testing step910   2023-07-02 23:42:57.722197
QCY: testing step920   2023-07-02 23:42:58.201333
QCY: testing step930   2023-07-02 23:42:58.678932
QCY: testing step940   2023-07-02 23:42:59.171188
QCY: testing step950   2023-07-02 23:42:59.662253
QCY: testing step960   2023-07-02 23:43:00.142204
QCY: testing step970   2023-07-02 23:43:00.642800
QCY: testing step980   2023-07-02 23:43:01.116347
QCY: testing step990   2023-07-02 23:43:01.586915
QCY: testing step1000   2023-07-02 23:43:02.086417
QCY: testing step1010   2023-07-02 23:43:02.669201
QCY: testing step1020   2023-07-02 23:43:03.149815
QCY: testing step1030   2023-07-02 23:43:03.679350
QCY: testing step1040   2023-07-02 23:43:04.188942
QCY: testing step1050   2023-07-02 23:43:04.692070
QCY: testing step1060   2023-07-02 23:43:05.198012
QCY: testing step1070   2023-07-02 23:43:05.693721
QCY: testing step1080   2023-07-02 23:43:06.200736
QCY: testing step1090   2023-07-02 23:43:06.706919
QCY: testing step1100   2023-07-02 23:43:07.227332
QCY: testing step1110   2023-07-02 23:43:07.732185
QCY: testing step1120   2023-07-02 23:43:08.239192
QCY: testing step1130   2023-07-02 23:43:08.739848
QCY: testing step1140   2023-07-02 23:43:09.251107
QCY: testing step1150   2023-07-02 23:43:09.779254
QCY: testing step1160   2023-07-02 23:43:10.447075
QCY: testing step1170   2023-07-02 23:43:10.972060
QCY: testing step1180   2023-07-02 23:43:11.507510
QCY: testing step1190   2023-07-02 23:43:12.034552
QCY: testing step1200   2023-07-02 23:43:12.554992
QCY: testing step1210   2023-07-02 23:43:13.216473
QCY: testing step1220   2023-07-02 23:43:13.760704
QCY: testing step1230   2023-07-02 23:43:14.293788
QCY: testing step1240   2023-07-02 23:43:14.841380
QCY: testing step1250   2023-07-02 23:43:15.367805
QCY: testing step1260   2023-07-02 23:43:15.900554
QCY: testing step1270   2023-07-02 23:43:16.438465
QCY: testing step1280   2023-07-02 23:43:17.024505
QCY: testing step1290   2023-07-02 23:43:17.619206
QCY: testing step1300   2023-07-02 23:43:18.224929
QCY: testing step1310   2023-07-02 23:43:18.821814
QCY: testing step1320   2023-07-02 23:43:19.501999
QCY: testing step1330   2023-07-02 23:43:20.064507
QCY: testing step1340   2023-07-02 23:43:20.647218
QCY: testing step1350   2023-07-02 23:43:21.227069
QCY: testing step1360   2023-07-02 23:43:21.803743
QCY: testing step1370   2023-07-02 23:43:22.398128
QCY: testing step1380   2023-07-02 23:43:22.999678
QCY: testing step1390   2023-07-02 23:43:23.597160
QCY: testing step1400   2023-07-02 23:43:24.156590
QCY: testing step1410   2023-07-02 23:43:24.825605
QCY: testing step1420   2023-07-02 23:43:25.493349
QCY: testing step1430   2023-07-02 23:43:26.073014
QCY: testing step1440   2023-07-02 23:43:26.636685
QCY: testing step1450   2023-07-02 23:43:27.230376
QCY: testing step1460   2023-07-02 23:43:27.819511
QCY: testing step1470   2023-07-02 23:43:28.409507
QCY: testing step1480   2023-07-02 23:43:29.038397
QCY: testing step1490   2023-07-02 23:43:29.646793
QCY: testing step1500   2023-07-02 23:43:30.249261
QCY: testing step1510   2023-07-02 23:43:30.856574
QCY: testing step1520   2023-07-02 23:43:31.456487
QCY: testing step1530   2023-07-02 23:43:32.049026
QCY: testing step1540   2023-07-02 23:43:32.641654
QCY: testing step1550   2023-07-02 23:43:33.251921
QCY: testing step1560   2023-07-02 23:43:33.879266
QCY: testing step1570   2023-07-02 23:43:34.505609
QCY: testing step1580   2023-07-02 23:43:35.226008
QCY: testing step1590   2023-07-02 23:43:35.832968
QCY: testing step1600   2023-07-02 23:43:36.438661
QCY: testing step1610   2023-07-02 23:43:37.140031
QCY: testing step1620   2023-07-02 23:43:37.751201
QCY: testing step1630   2023-07-02 23:43:38.394188
QCY: testing step1640   2023-07-02 23:43:39.048566
QCY: testing step1650   2023-07-02 23:43:39.700847
QCY: testing step1660   2023-07-02 23:43:40.353868
QCY: testing step1670   2023-07-02 23:43:41.008427
QCY: testing step1680   2023-07-02 23:43:41.665179
QCY: testing step1690   2023-07-02 23:43:42.326043
QCY: testing step1700   2023-07-02 23:43:42.998227
QCY: testing step1710   2023-07-02 23:43:43.677449
QCY: testing step1720   2023-07-02 23:43:44.357052
QCY: testing step1730   2023-07-02 23:43:45.052392
QCY: testing step1740   2023-07-02 23:43:45.735561
QCY: testing step1750   2023-07-02 23:43:46.439231
QCY: testing step1760   2023-07-02 23:43:47.152380
QCY: testing step1770   2023-07-02 23:43:47.854262
QCY: testing step1780   2023-07-02 23:43:48.560695
QCY: testing step1790   2023-07-02 23:43:49.254475
QCY: testing step1800   2023-07-02 23:43:49.948524
QCY: testing step1810   2023-07-02 23:43:50.756331
QCY: testing step1820   2023-07-02 23:43:51.478299
QCY: testing step1830   2023-07-02 23:43:52.219528
QCY: testing step1840   2023-07-02 23:43:52.952636
QCY: testing step1850   2023-07-02 23:43:53.699901
QCY: testing step1860   2023-07-02 23:43:54.442528
QCY: testing step1870   2023-07-02 23:43:55.186411
QCY: testing step1880   2023-07-02 23:43:55.932318
QCY: testing step1890   2023-07-02 23:43:56.671342
QCY: testing step1900   2023-07-02 23:43:57.410126
QCY: testing step1910   2023-07-02 23:43:58.157267
QCY: testing step1920   2023-07-02 23:43:58.893612
QCY: testing step1930   2023-07-02 23:43:59.630555
QCY: testing step1940   2023-07-02 23:44:00.362503
QCY: testing step1950   2023-07-02 23:44:01.098037
QCY: testing step1960   2023-07-02 23:44:01.849150
QCY: testing step1970   2023-07-02 23:44:02.597656
QCY: testing step1980   2023-07-02 23:44:03.349952
QCY: testing step1990   2023-07-02 23:44:04.104331
QCY: testing step2000   2023-07-02 23:44:04.868182
QCY: testing step2010   2023-07-02 23:44:05.718227
QCY: testing step2020   2023-07-02 23:44:06.497524
QCY: testing step2030   2023-07-02 23:44:07.290248
QCY: testing step2040   2023-07-02 23:44:08.064677
QCY: testing step2050   2023-07-02 23:44:08.843960
QCY: testing step2060   2023-07-02 23:44:09.625387
QCY: testing step2070   2023-07-02 23:44:10.412098
QCY: testing step2080   2023-07-02 23:44:11.205695
QCY: testing step2090   2023-07-02 23:44:12.004819
QCY: testing step2100   2023-07-02 23:44:12.803828
QCY: testing step2110   2023-07-02 23:44:13.614704
QCY: testing step2120   2023-07-02 23:44:14.427915
QCY: testing step2130   2023-07-02 23:44:15.234613
QCY: testing step2140   2023-07-02 23:44:16.039297
QCY: testing step2150   2023-07-02 23:44:16.842495
QCY: testing step2160   2023-07-02 23:44:17.646762
QCY: testing step2170   2023-07-02 23:44:18.454423
QCY: testing step2180   2023-07-02 23:44:19.268364
QCY: testing step2190   2023-07-02 23:44:20.078081
QCY: testing step2200   2023-07-02 23:44:20.895517
QCY: testing step2210   2023-07-02 23:44:21.780210
QCY: testing step2220   2023-07-02 23:44:22.577370
QCY: testing step2230   2023-07-02 23:44:23.549896
QCY: testing step2240   2023-07-02 23:44:24.390449
QCY: testing step2250   2023-07-02 23:44:25.271049
QCY: testing step2260   2023-07-02 23:44:26.120061
QCY: testing step2270   2023-07-02 23:44:26.992829
QCY: testing step2280   2023-07-02 23:44:27.860994
QCY: testing step2290   2023-07-02 23:44:28.743753
QCY: testing step2300   2023-07-02 23:44:29.640585
QCY: testing step2310   2023-07-02 23:44:30.528529
QCY: testing step2320   2023-07-02 23:44:31.410066
QCY: testing step2330   2023-07-02 23:44:32.277881
QCY: testing step2340   2023-07-02 23:44:33.143000
QCY: testing step2350   2023-07-02 23:44:34.016536
QCY: testing step2360   2023-07-02 23:44:34.891924
QCY: testing step2370   2023-07-02 23:44:35.763818
QCY: testing step2380   2023-07-02 23:44:36.682207
QCY: testing step2390   2023-07-02 23:44:37.598857
QCY: testing step2400   2023-07-02 23:44:38.502140
QCY: testing step2410   2023-07-02 23:44:39.477467
QCY: testing step2420   2023-07-02 23:44:40.357373
QCY: testing step2430   2023-07-02 23:44:41.229756
QCY: testing step2440   2023-07-02 23:44:42.113982
QCY: testing step2450   2023-07-02 23:44:43.005446
QCY: testing step2460   2023-07-02 23:44:43.898849
QCY: testing step2470   2023-07-02 23:44:44.770363
QCY: testing step2480   2023-07-02 23:44:45.624555
QCY: testing step2490   2023-07-02 23:44:46.475670
QCY: testing step2500   2023-07-02 23:44:47.358366
QCY: testing step2510   2023-07-02 23:44:48.252803
QCY: testing step2520   2023-07-02 23:44:49.164753
QCY: testing step2530   2023-07-02 23:44:50.078310
QCY: testing step2540   2023-07-02 23:44:51.013513
QCY: testing step2550   2023-07-02 23:44:51.935275
QCY: testing step2560   2023-07-02 23:44:52.872162
QCY: testing step2570   2023-07-02 23:44:53.822713
QCY: testing step2580   2023-07-02 23:44:54.761120
QCY: testing step2590   2023-07-02 23:44:55.721484
QCY: testing step2600   2023-07-02 23:44:56.649604
QCY: testing step2610   2023-07-02 23:44:57.673153
QCY: testing step2620   2023-07-02 23:44:58.599406
QCY: testing step2630   2023-07-02 23:44:59.513653
QCY: testing step2640   2023-07-02 23:45:00.449901
QCY: testing step2650   2023-07-02 23:45:01.392886
QCY: testing step2660   2023-07-02 23:45:02.386129
QCY: testing step2670   2023-07-02 23:45:03.377217
QCY: testing step2680   2023-07-02 23:45:04.358209
QCY: testing step2690   2023-07-02 23:45:05.337856
QCY: testing step2700   2023-07-02 23:45:06.311117
QCY: testing step2710   2023-07-02 23:45:07.293829
QCY: testing step2720   2023-07-02 23:45:08.275122
QCY: testing step2730   2023-07-02 23:45:09.259578
QCY: testing step2740   2023-07-02 23:45:10.235347
QCY: testing step2750   2023-07-02 23:45:11.201735
QCY: testing step2760   2023-07-02 23:45:12.174143
QCY: testing step2770   2023-07-02 23:45:13.167411
QCY: testing step2780   2023-07-02 23:45:14.183983
QCY: testing step2790   2023-07-02 23:45:15.200248
QCY: testing step2800   2023-07-02 23:45:16.217455
QCY: testing step2810   2023-07-02 23:45:17.368157
QCY: testing step2820   2023-07-02 23:45:18.403327
QCY: testing step2830   2023-07-02 23:45:19.480923
QCY: testing step2840   2023-07-02 23:45:20.558431
QCY: testing step2850   2023-07-02 23:45:21.631689
QCY: testing step2860   2023-07-02 23:45:22.708772
QCY: testing step2870   2023-07-02 23:45:23.788768
QCY: testing step2880   2023-07-02 23:45:24.879295
QCY: testing step2890   2023-07-02 23:45:25.976260
QCY: testing step2900   2023-07-02 23:45:27.087483
QCY: testing step2910   2023-07-02 23:45:28.200231
QCY: testing step2920   2023-07-02 23:45:29.326206
QCY: testing step2930   2023-07-02 23:45:30.450135
QCY: testing step2940   2023-07-02 23:45:31.578321
QCY: testing step2950   2023-07-02 23:45:32.700561
QCY: testing step2960   2023-07-02 23:45:33.833191
QCY: testing step2970   2023-07-02 23:45:34.971441
QCY: testing step2980   2023-07-02 23:45:36.107857
QCY: testing step2990   2023-07-02 23:45:37.282688
QCY: testing step3000   2023-07-02 23:45:38.456250
QCY: testing step3010   2023-07-02 23:45:39.696161
QCY: testing step3020   2023-07-02 23:45:40.853879
QCY: testing step3030   2023-07-02 23:45:42.007483
QCY: testing step3040   2023-07-02 23:45:43.189445
QCY: testing step3050   2023-07-02 23:45:44.417838
QCY: testing step3060   2023-07-02 23:45:45.625852
QCY: testing step3070   2023-07-02 23:45:46.842622
QCY: testing step3080   2023-07-02 23:45:48.072542
QCY: testing step3090   2023-07-02 23:45:49.283525
QCY: testing step3100   2023-07-02 23:45:50.536864
QCY: testing step3110   2023-07-02 23:45:51.800152
QCY: testing step3120   2023-07-02 23:45:53.059880
QCY: testing step3130   2023-07-02 23:45:54.329884
QCY: testing step3140   2023-07-02 23:45:55.567701
QCY: testing step3150   2023-07-02 23:45:56.764732
QCY: testing step3160   2023-07-02 23:45:57.926594
QCY: testing step3170   2023-07-02 23:45:59.097812
QCY: testing step3180   2023-07-02 23:46:00.277803
QCY: testing step3190   2023-07-02 23:46:01.486387
QCY: testing step3200   2023-07-02 23:46:02.742424
QCY: testing step3210   2023-07-02 23:46:04.012683
QCY: testing step3220   2023-07-02 23:46:05.192366
QCY: testing step3230   2023-07-02 23:46:06.391218
QCY: testing step3240   2023-07-02 23:46:07.584919
QCY: testing step3250   2023-07-02 23:46:08.772153
QCY: testing step3260   2023-07-02 23:46:09.963961
QCY: testing step3270   2023-07-02 23:46:11.170183
QCY: testing step3280   2023-07-02 23:46:12.345294
QCY: testing step3290   2023-07-02 23:46:13.518405
QCY: testing step3300   2023-07-02 23:46:14.692576
QCY: testing step3310   2023-07-02 23:46:15.890239
QCY: testing step3320   2023-07-02 23:46:17.126560
QCY: testing step3330   2023-07-02 23:46:18.370298
QCY: testing step3340   2023-07-02 23:46:19.611656
QCY: testing step3350   2023-07-02 23:46:20.880717
QCY: testing step3360   2023-07-02 23:46:22.149134
QCY: testing step3370   2023-07-02 23:46:23.424524
QCY: testing step3380   2023-07-02 23:46:24.730802
QCY: testing step3390   2023-07-02 23:46:26.015707
QCY: testing step3400   2023-07-02 23:46:27.307807
QCY: testing step3410   2023-07-02 23:46:28.686579
QCY: testing step3420   2023-07-02 23:46:29.979448
QCY: testing step3430   2023-07-02 23:46:31.306643
QCY: testing step3440   2023-07-02 23:46:32.686937
QCY: testing step3450   2023-07-02 23:46:33.993756
QCY: testing step3460   2023-07-02 23:46:35.312987
QCY: testing step3470   2023-07-02 23:46:36.677250
QCY: testing step3480   2023-07-02 23:46:38.038652
QCY: testing step3490   2023-07-02 23:46:39.391552
QCY: testing step3500   2023-07-02 23:46:40.764621
QCY: testing step3510   2023-07-02 23:46:42.151164
QCY: testing step3520   2023-07-02 23:46:43.523809
QCY: testing step3530   2023-07-02 23:46:44.938865
QCY: testing step3540   2023-07-02 23:46:46.310705
QCY: testing step3550   2023-07-02 23:46:47.648693
QCY: testing step3560   2023-07-02 23:46:48.980313
QCY: testing step3570   2023-07-02 23:46:50.307376
QCY: testing step3580   2023-07-02 23:46:51.681670
QCY: testing step3590   2023-07-02 23:46:53.073710
2023-07-02 23:46:54 (INFO): Final Travel Time is 549.8826, mean rewards: -1646.4608, queue: 30.1026, delay: 4.6150, throughput: 5752
2023-07-02 23:46:54 (INFO): Total time taken: 268.28086376190186
