nohup: ignoring input
QCY: cuda is available
YQC: you will use sumo~
building world...
Connection ID debug
QCY: agent: Maxpressure Agent has no Network model
QCY: num_agent:  49
QCY: model_mapping setting name:  maxpressure
QCY: task_mapping:  {'base': <class 'task.task.BaseTask'>, 'tsc': <class 'task.task.TSCTask'>}
QCY: GPU: 0
QCY: model_mapping setting train_model:  False
QCY: model_mapping setting test_model:  True
QCY: testing step0   2023-07-02 23:42:42.036058
QCY: testing step10   2023-07-02 23:42:42.231814
QCY: testing step20   2023-07-02 23:42:42.365984
QCY: testing step30   2023-07-02 23:42:42.505650
QCY: testing step40   2023-07-02 23:42:42.653545
QCY: testing step50   2023-07-02 23:42:42.808434
QCY: testing step60   2023-07-02 23:42:42.964832
QCY: testing step70   2023-07-02 23:42:43.127593
QCY: testing step80   2023-07-02 23:42:43.293585
QCY: testing step90   2023-07-02 23:42:43.464790
QCY: testing step100   2023-07-02 23:42:43.641491
QCY: testing step110   2023-07-02 23:42:43.831214
QCY: testing step120   2023-07-02 23:42:44.017679
QCY: testing step130   2023-07-02 23:42:44.210432
QCY: testing step140   2023-07-02 23:42:44.405884
QCY: testing step150   2023-07-02 23:42:44.609405
QCY: testing step160   2023-07-02 23:42:44.820751
QCY: testing step170   2023-07-02 23:42:45.035719
QCY: testing step180   2023-07-02 23:42:45.258252
QCY: testing step190   2023-07-02 23:42:45.477282
QCY: testing step200   2023-07-02 23:42:45.705433
QCY: testing step210   2023-07-02 23:42:46.022009
QCY: testing step220   2023-07-02 23:42:46.255863
QCY: testing step230   2023-07-02 23:42:46.494265
QCY: testing step240   2023-07-02 23:42:46.737763
QCY: testing step250   2023-07-02 23:42:46.995467
QCY: testing step260   2023-07-02 23:42:47.254430
QCY: testing step270   2023-07-02 23:42:47.507369
QCY: testing step280   2023-07-02 23:42:47.765488
QCY: testing step290   2023-07-02 23:42:48.032676
QCY: testing step300   2023-07-02 23:42:48.297323
QCY: testing step310   2023-07-02 23:42:48.565084
QCY: testing step320   2023-07-02 23:42:48.836236
QCY: testing step330   2023-07-02 23:42:49.111070
QCY: testing step340   2023-07-02 23:42:49.398418
QCY: testing step350   2023-07-02 23:42:49.679440
QCY: testing step360   2023-07-02 23:42:49.959104
QCY: testing step370   2023-07-02 23:42:50.249708
QCY: testing step380   2023-07-02 23:42:50.544811
QCY: testing step390   2023-07-02 23:42:50.833418
QCY: testing step400   2023-07-02 23:42:51.122192
QCY: testing step410   2023-07-02 23:42:51.515569
QCY: testing step420   2023-07-02 23:42:51.821569
QCY: testing step430   2023-07-02 23:42:52.119899
QCY: testing step440   2023-07-02 23:42:52.420573
QCY: testing step450   2023-07-02 23:42:52.774491
QCY: testing step460   2023-07-02 23:42:53.084965
QCY: testing step470   2023-07-02 23:42:53.391212
QCY: testing step480   2023-07-02 23:42:53.706235
QCY: testing step490   2023-07-02 23:42:54.031275
QCY: testing step500   2023-07-02 23:42:54.348410
QCY: testing step510   2023-07-02 23:42:54.663226
QCY: testing step520   2023-07-02 23:42:54.976073
QCY: testing step530   2023-07-02 23:42:55.296547
QCY: testing step540   2023-07-02 23:42:55.627154
QCY: testing step550   2023-07-02 23:42:55.965734
QCY: testing step560   2023-07-02 23:42:56.315424
QCY: testing step570   2023-07-02 23:42:56.666002
QCY: testing step580   2023-07-02 23:42:57.008765
QCY: testing step590   2023-07-02 23:42:57.353589
QCY: testing step600   2023-07-02 23:42:57.701104
QCY: testing step610   2023-07-02 23:42:58.150918
QCY: testing step620   2023-07-02 23:42:58.515499
QCY: testing step630   2023-07-02 23:42:58.869486
